"","log10Ta","log10NH","log10PeakFlux","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050416A",2.99481,21.75162856,0.688419822,3.08,-10.5559552,0.397940009,0.842217,0.9,2.06183,-6.435333936,8.9688869361,473.133345012208,0.473921851322512,9.4864,111.428190184407,0.15835625076292,0.709329475089,0.81,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0.6528,0.218220304175545
"050502A",3.68663467085878,21.0181637594417,0.330571846807332,1.5837013438142,-10.7579957039005,1.134495856,1.42353437505767,0.906316858145831,1.96705146522392,-5.95905698874291,13.591275196378,441.763207818709,0.10927774590161,2.50810994639892,115.734471565142,1.28708084728117,2.02645011697082,0.821410247359331,3.86929146683955,35.5103601950857,0.214744065864423,0.786672021525087,0.603496247872173,0.274276813365812,0.195646736040562,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",3.79,0.680335513414563
"050502B",3.64518618239163,21.0347201497492,0.300152911468348,1.49398169361224,-10.7144772478087,1.428134794,1.39951691863505,0.917330455233862,1.97812318786123,-5.90726604152399,13.2873823042988,442.459451778266,0.0900917702629263,2.2319813008485,114.800022693811,2.03956898983342,1.95864760554575,0.841495164099565,3.91297134635428,34.8957920853425,0.0508837165764397,0.801816970919421,0.609975196608328,0.282840452671151,0.199447717711071,0.0295798799821603,0.14,0.0671099909495084,"050502B",3.793,0.680607428991788
"050505A",4.270583544,22.23063027,0.267171728,1.41,-11.04817696,1.770115295,1.462094791,0.973,2.01835,-5.603800653,18.2378838062836,494.20092220144,0.071380732242506,1.9881,122.062214139475,3.13330815759294,2.13772117786933,0.946729,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",4.27,0.721810615212547
"050525A",3.52874654648256,21.2788016,1.620136055,1,-10.3520667772346,0.84260924,1.23378692723459,0.879079934121543,2.08914,-4.815308569,12.4520521893126,452.787397532163,2.62484083671096,1,107.165286560324,0.709990331333378,1.52223018181498,0.772781530575136,4.3645059396,23.1871966146848,0.0313174061753508,0.799080324988005,0.610548928931378,0.271362086124841,0.198660661469724,0.006273143,0.1,0.009789852,"050525A",0.61,0.20682587603185
"050603A",3.96274416700055,21.63005546,1.33243846,1.16,-10.4462740851379,1.681241237,1.62637154929931,0.916524608575431,1.90951127022931,-5.196542884,15.7033413330969,467.859299202676,1.77539224968717,1.3456,109.124642261823,2.82657209698929,2.64508441637022,0.840017358124346,3.64623329113277,27.004057945251,0.740704337003765,0.779111928287256,0.610924542371125,0.289323451596256,0.203233860311447,-0.0006217656979968,0.06,0.0038290748542292,"050603A",2.82,0.582063362911709
"050730A",4.05018,21.73850309,-0.259637311,1.53,-10.09854168,2.194514342,2.38763,0.5615,1.6177,-5.623423043,16.4039580324,472.562516593939,0.0674115332633107,2.3409,101.980544062697,4.81589319724369,5.7007770169,0.31528225,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",3.967,0.696094159995223
"050801A",3.32674654311991,20.80209017,0.164352856,1.99,-10.0521620931677,1.131939295,1.30998946630735,0.897901554528495,2.07525210781143,-6.508638306,11.0672425621603,432.726955440811,0.0270118612753567,3.9601,101.045962747318,1.2812865675651,1.71607240183621,0.806227201624688,4.3066713109758,42.3623725983306,0.0664080102705681,0.815206175987139,0.609819752025671,0.268966570002188,0.204385628929432,0.0581234535102333,0.25,0.0712796339614364,"050801A",1.56,0.40823996531185
"050802A",3.63973,21.25883595,0.439332694,1.54,-10.28650946,1.477121255,1.44729,0.8585,1.8557,-5.698970004,13.2476344729,451.938105949012,0.193013216017298,2.3716,105.812276870669,2.18188720197277,2.0946483441,0.73702225,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",1.7102,0.433001340945038
"050803A",4.21721,21.34755638,-0.017728767,1.38,-10.86012091,1.943988875,1.52234,1.218,2.11696,-5.66756154,17.7848601841,455.718163397279,0.000314309179340289,1.9044,117.942226179819,3.77909274612377,2.3175190756,1.483524,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",3.5,0.653212513775344
"050820A",3.750945731,21.61964524,0.389166084,1.25,-10.01818139,1.414973348,1.136499703,0.9,1.96878,-5.463441557,14.0695938769071,467.409060303455,0.151450240935895,1.5625,100.363958362942,2.00214957555033,1.29163157491909,0.81,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",2.6147,0.558072259099146
