"","log10PeakFlux","Alpha","log10Ta","PhotonIndex","log10Fa","Beta","Gamma","log10Fluence","log10T90","log10NH","log10PeakFluxSqr","AlphaSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Sqr","log10NHSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"210204A",0.255272505,1.2725689335351,4.01128505385513,1.53,-10.5121322479456,0.884015763818689,2.02179,-5.193820026,2.23954972084047,21.95954126,0.065164051808975,1.61943169059865,16.0904077832816,2.3409,110.504924398297,0.78148387067994,4.0876348041,26.9757664624786,5.01558295211664,482.221452349642,0.0886038540634792,0.792053054742452,0.603763742625933,0.277158225947058,0.20674925520347,0.0169812114071368,0.58,0.0337447149872822,"210204A",0.876,0.273232834043046
"220117A",0.278753601,1.68612083,3.43803362,1.84,-10.1070569,1.2,1.78537,-5.795880017,1.69731654173238,21.99532933,0.0777035700704672,2.84300345335989,11.8200751722503,3.3856,102.152599179838,1.44,3.1875460369,33.5922251714599,2.88088344283838,483.794512335158,0.0299157959458657,0.05084186,0.04500955,0.06200239,0.55,0.0542868101948971,0.18,0.0914304172328591,"220117A",4.961,0.775319121829478
"081028A",-0.301029996,2.20023,4.75426,1.25,-11.3994,0.945,2.51,-5.431798276,2.41497334797082,20.90308999,0.09061905849176,4.8410120529,22.6029881476,1.5625,129.94632036,0.893025,6.3001,29.5044325111566,5.83209627140938,436.939171130038,0.0544346314348955,0.0572,0.03025,0.054715,5e-04,0.0142275014568467,0.23030303,0.0526417557651133,"081028A",3.038,0.60616631460762
"030226A",1.041392685,1.75250278081724,4.18811005594613,1.53,-10.9827775234375,0.868538013137742,1.95818,-5.795880017,1.13417710757677,21.85427081,1.08449872437151,3.07126599677215,17.5402658407171,2.3409,120.621402129324,0.754358280265257,3.8344689124,33.5922251714599,1.2863577113512,477.609152636818,0.00919722887858148,0.824662080037556,0.607878219976453,0.289700961220609,0.207493700362316,0.0169812114071368,0.58,0.0167116683635139,"030226A",1.99,0.47567118832443
"140213A",1.371067862,1.108879519,3.829176603,1.8,-10.12551818,0.83,1.96657,-4.920818754,1.77815125038364,20.99187128,1.87982708220925,1.22961378765767,14.6625934569626,3.24,102.526118413511,0.6889,3.8673975649,24.2144572097181,3.16182186924092,440.658659836089,0.018986810867354,0.06303582,0.068643889,0.021746292,0.005,0,0.024242424,0.00896029879686819,"140213A",1.2076,0.343920385393226
"170519A",-0.15490196,1.37345,4.1513,1.94,-11.06348626,0.975,1.97351,-5.958607315,2.33525725643453,21.33992622,0.0239946172118416,1.8863649025,17.23329169,3.7636,122.400728225209,0.950625,3.8947417201,35.5050011343715,5.45342645373014,455.392451075043,0.0991498518293477,0.053,0.052235,0.066745,0.224423613,0.0478561412739919,0.157575758,0.0376012540900799,"170519A",0.818,0.259593878885949
"210210A",0.84509804,1.5451851,3.72413045,1.53,-10.1403778,0.965,1.85188,-6.008773924,0.819543935541869,21.12319546,0.714190697211842,2.38759699326201,13.8691476086172,2.3409,102.827261926733,0.931225,3.4294595344,36.1053640697424,0.671652262283455,446.189386441365,0.0387784332904449,0.05799791,0.08857348,0.10645081,0.15,0.0354526107425099,0.58,0.0310210344226792,"210210A",0.715,0.234264124378789
"220521A",0.672097858,1.71067512,3.30131796,1.97,-10.6276115,1.1,2.02179,-6.091514981,1.13193929521042,21.85427081,0.451715530728188,2.92640936618701,10.8987002730186,3.8809,112.946126194932,1.21,4.0876348041,37.1065547637474,1.28128656804147,477.609152636818,0.0862659940924207,0.16334814,0.13206168,0.12291833,0.4,0.042893282151299,0.18,0.0369612324969336,"220521A",5.57,0.817565369559781
"110106B",0.322219295,1.22519883,3.87203946,1.76,-10.81530857,1.03,2.05121,-5.698970004,1.39445168082622,21.29748256,0.103825274070297,1.50111217303337,14.9926895797971,3.0976,116.970899464315,1.0609,4.2074624641,32.4782591064918,1.94449549015906,453.582763393504,0.2911632385275,0.045543555,0.058714404,0.049891228,0.005,0.0131604388353707,0.066666667,0.0376012538590013,"110106B",0.618,0.208978517276253
"091029A",0.255272505,1.12123368,4.30368998,1.46,-11.34678749,1.064,2.11535,-5.619788758,1.59328606702046,21.45058625,0.065164051808975,1.25716496516634,18.5217474439524,2.1316,128.74958634322,1.132096,4.4747056225,31.5820256845432,2.53856049136152,460.127650468689,0.0535069670692151,0.02563352,0.034224003,0.026782025,0.002,0.0109670323640116,0.163636364,0.0146227099269182,"091029A",2.752,0.574262829707027
