"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","Beta","log10Fa","log10T90","Alpha","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","BetaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10PeakFlux_opt","PhotonIndex_opt","log10NH_opt","log10Ta_opt","Beta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050502A",0.330571846807332,1.5837013438142,21.0181637594417,3.72,0.76,-12.6,1.301029996,1.43,1.96705146522392,-5.95905698874291,0.10927774590161,2.5081099463989,441.763207818708,13.8384,0.5776,158.76,1.69267905049176,2.0449,3.86929146683957,35.5103601950857,0.0827679937346041,0.04,0.03,0.02,0.16,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",1,0.082642961701833,0.39592533595355,5.25454093986042,0.93,0.19,-3.15,0.325257499,0.3575,0.49176286630598,-1.48976424718573,3.79,0.680335513414563
"050502B",0.300152911468348,1.49398169361224,21.0347201497492,3.576116,0.9,-12.4453,1.243038049,1.358692,1.97812318786123,-5.90726604152399,0.090091770262926,2.2319813008485,442.459451778265,12.788605645456,0.81,154.88549209,1.54514359126173,1.846043950864,3.91297134635427,34.8957920853425,0.0515724807527089,0.122846,0.139983,0.198462,0.06,0.0295798799821603,0.14,0.0671099909495084,"050502B",1,0.075038227867087,0.37349542340306,5.2586800374373,0.894029,0.225,-3.111325,0.31075951225,0.339673,0.494530796965307,-1.476816510381,3.793,0.680607428991788
"050505A",0.267171728,1.41,22.23063027,4.32516649242086,0.816421813410317,-12.3200010341223,1.770115295,1.24196899523839,2.01835,-5.603800653,0.071380732242506,1.9881,494.20092220144,18.7070651871602,0.66654457741219,151.782425480775,3.13330815759294,1.54248698513346,4.0737367225,31.4025817585632,0.0504266082569071,0.767396557222176,0.549397954526816,0.329132508095782,0.222906767823737,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",1.620136055,1,21.2788016,3.22416,0.52,-11.6972,0.944482672,1.03423,2.08914,-4.815308569,2.62484083671096,1,452.787397532163,10.3952077056,0.2704,136.82448784,0.89204751770826,1.0696316929,4.3645059396,23.1871966146848,0.0469357822743554,0.0658,0.10234,0.034343,0.08,0.006273143,0.1,0.009789852,"050525A",1,0.40503401375,0.25,5.3197004,0.80604,0.13,-2.9243,0.236120668,0.2585575,0.522285,-1.20382714225,0.61,0.20682587603185
"050730A",-0.259637311,1.53,21.73850309,4.344142,0.52,-12.3658,2.194514342,1.574343,1.6177,-5.623423043,0.0674115332633107,2.3409,472.562516593939,18.871569716164,0.2704,152.91300964,4.81589319724369,2.478555881649,2.61695329,31.6228867205434,0.0500432094216776,0.044456,0.054968,0.069551,0.05,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,3.97,0.696356388733332
"050801A",0.164352856,1.99,20.80209017,2.64,0.69,-10.98,1.28780173,1.19,2.07525210781143,-6.508638306,0.0270118612753567,3.9601,432.726955440811,6.9696,0.4761,120.5604,1.65843329579099,1.4161,4.30667131097578,42.3623725983306,0.0344798070207195,0.02,0.02,0.01,0.34,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,0.041088214,0.4975,5.2005225425,0.66,0.1725,-2.745,0.3219504325,0.2975,0.518813026952857,-1.6271595765,1.56,0.40823996531185
"050802A",0.439332694,1.54,21.25883595,2.91,0.72,-11.61,1.477121255,0.91,1.8557,-5.698970004,0.193013216017298,2.3716,451.938105949012,8.4681,0.5184,134.7921,2.18188720197277,0.8281,3.44362249,32.4782591064918,0.14763173580347,0.08,0.09,0.01,0.03,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,1.71,0.432969290874406
"050803A",-0.017728767,1.38,21.34755638,4.34336349215614,0.890756203956415,-12.3173477654151,1.943988875,1.29176828169763,2.11696,-5.66756154,0.000314309179340289,1.9044,455.718163397279,18.8648064249948,0.793446614886842,151.717055974176,3.77909274612377,1.66866529360005,4.4815196416,32.1212538096872,0.0515724807527089,0.759036628500768,0.562245301799814,0.347737702187019,0.226001573854393,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
"050820A",0.389166084,1.25,21.61964524,4.46,0.72,-11.97,1.414973348,1.02,1.96878,-5.463441557,0.151450240935895,1.5625,467.409060303455,19.8916,0.5184,143.2809,2.00214957555033,1.0404,3.8760946884,29.8491936467546,0.378773543191014,0.01,0.02,0.01,0.03,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,2.61,0.557507201905658
"050824A",-0.301029996,2.76,20.9708274,3.65,0.45,-12.5,1.353723938,0.65,1.94709,-6.575118363,0.09061905849176,7.6176,439.775601840591,13.3225,0.2025,156.25,1.83256850031423,0.4225,3.7911594681,43.2321814874598,0.0782985476819812,0.03,0.06,0.01,0.18,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0.83,0.262451089730429
