"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB090205",0.944482672150169,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,0.13445,0.114585,0.084185,0.025,1.81818181818182e-08,0.139393939,0.060606061,0.0885407573811254,0.0415592805603905,0.0526417557651133,4.6497,0.752025387323213
"GRB090423",1.01283722470517,-11.2798407,3.91521772,1.43267533,0.77,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,0.08569564,0.077643595,0.064053366,0.005,2.42424242424242e-08,0.303030303,0.121212121,0.0447672759398327,0.017844662826724,0.0309657384329063,8.26,0.966610986681934
"GRB090424",1.68124123737559,-9.050609993,2.99599056,1.1284106,0.924,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0.011257098,0.013394814,0.005546887,0,0,0.090909091,1.212121212,0.020561192440785,0,0.00741433173843615,0.544,0.188647295999717
"GRB090519",1.80617997398389,-11.76000021,3.44619,1.42452,0.63,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,8.24011649,0.21145,0.24029,0.3065,0.03,6.06060606060606e-08,0.121212121,0.121212121,0.0559162050288593,0.0219340647449938,0.0877362588943192,3.85,0.685741738602264
"GRB090529",2,-12.1873998,4.472757799,0.8815438,0.64,2.22623,-6.167491087,2,20.90942658,-0.397940009,10.5274432,0.11547934,0.21900534,0.113675222,0.125,1.03030303030303e-07,0.181818182,0.060606061,0.0457201049030991,0.0658021941832558,0.065802194705171,2.625,0.559308010907013
"GRB090530",1.68124123737559,-11.16052195,3.6839464,0.88610581,1.09,2.03975,-5.958607315,1.61,20.90942658,0.397940009,35.77708764,0.089175625,0.115365029,0.038514202,0.035,6.06060606060606e-08,0.103030303,0.181818182,0.323703994596272,0.023928070636996,0.0315850532370607,1.266,0.355259905527378
"GRB090618",2.05384642685225,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,-3.978810701,1.42,21.39200012,1.589949601,0.593538562,0.009695255,0.014245613,0.010591616,0.002482662,6.06060606060606e-07,0.048484848,0.484848485,0.00227712475506529,0.00250675025669951,0.00541303397821518,0.54,0.187520720836463
"GRB090809",0.732393759822969,-11.8559,4.56066,1.6367,0.96,1.94644,-6.468521083,1.34,21.91952315,0.041392685,1.216253263,0.338,0.237865,0.319405,0.01,3.03030303030303e-08,0.145454545,0.121212121,0.0978170519847638,0.0387071730789222,0.0478561411902437,2.737,0.572523097849638
"GRB090812",1.82412583391655,-10.16730017,3.52924,1.37252,0.53,1.88559,-5.236572006,1.24,21.77771022,0.556302501,14.65837332,0.10615,0.13258,0.08412,0.015,1.21212121212121e-07,0.03030303,0.121212121,0.0954430381792181,0.00907616471193707,0.0146227097949671,2.452,0.538070787043172
"GRB090927",0.342422680822206,-11.6716204,4.20121889,1.13087741,0.92,2.06549,-6.698970004,1.8,21.01785522,0.301029996,0.400898978,0.076268475,0.093241949,0.074843971,0.01,1.81818181818182e-08,0.121212121,0.121212121,0.079140097248206,0.0394813165061122,0.0263208776246799,1.37,0.374748346010104
