"","Fbest","T_abest","F_min","F_max","T_amin","T_amax","logT90","logPeakFlux","errorlogPeakFlux","photon_index","errorphotonindex","logNH","T90_err","Gamma","Alpha","AlphaErr"
"GRB181103A",-11.0113,3.71006,-11.0566,-10.9659,3.63154,3.78859,0.923244018630276,"-0.09691001300805639",0.108573620475813,"1.90","0.27",21.8021800803218,2.41000585275786,2.1983,0.81937,0.81937
"GRB190109A",-10.929,3.4605,-11.0495,-10.8086,3.32135,3.59964,2.06069784035361,"0.2787536009528289",0.0685728129320924,"0.36","0.47",20.733620114994,33.4435856216658,1.83858,1.20586,1.205855
"GRB190202A",-9.44352,3.28863,-9.45556,-9.43148,3.27719,3.30008,1.28780172993023,"0.8920946026904804",0.0835181695967792,"1.32","0.13",20.8308067234232,6.89043402235768,1.82361,1.44109,1.441095
"GRB190203A",-8.81988,2.80793,-8.83625,-8.80352,2.79176,2.82409,1.98227123303957,"0.4913616938342727",0.0840569964974036,"1.06","0.06",21.8472696577414,16,1.62927,1.39866,1.398655
"GRB190204A",-8.67607,2.5734,-8.68869,-8.66346,2.56146,2.58534,1.42160392686983,"1.4842998393467859",0.0128152470069812,"1.30","0.04",21.7209852487605,7.49263017493553,1.88087,1.44147,1.441475
"GRB190211A",-10.5104,3.41868,-10.5788,-10.4419,3.34935,3.48801,1.09621458534641,"0.2787536009528289",0.0914304172427899,"1.51","0.33",20.8407952722495,1.45731809584274,1.9291,1.2215,1.221515
"GRB190219A",-11.5912,4.52688,-11.6676,-11.5147,4.37567,4.67809,2.22479195649268,"0.2787536009528289",0.0457152086213949,"2.24","0.1",21.2340014424009,12.8003112495262,2.12305,0.9296,0.9295985
"GRB190311A",-11.0329,3.73931,-11.0984,-10.9673,3.62363,3.855,1.23044892137827,"0.25527250510330607",0.072382413650542,"1.80","0.17",21.582518792169,6.80073525436772,2.00488,0.854671,0.8546715
"GRB190511A",-11.577,4.39622,-11.7533,-11.4007,4.28612,4.50633,1.44247976906445,"0.7923916894982539",0.0840569964974036,"1.19","p.10",21.2145900823896,2.35417588983274,2.11564,2.18128,2.18128
"GRB190515B",-11.2285,3.68578,-11.3378,-11.1192,3.51994,3.85161,1.66651798055488,"0.04139268515822508",0.0789626330733185,"1.74","0.15",21.1268252042341,12.2547910006235,1.96696,0.948964,0.9489625
"GRB190519A",-9.645,3.34823,-9.67826,-9.61174,3.29979,3.39667,1.65877432084436,"1.3138672203691535",0.0358398358852198,"1.32","0.24",21.8164733037652,2.85630253194435,1.76831,1.10892,1.108925
"GRB190604B",-10.0302,3.5915,-10.0889,-9.97149,3.51187,3.67113,2.34281731463573,"0.8633228601204559",0.0237969579125069,"1.81PL","2.02184",21.4618690346815,4.735231816739,2.02184,1.14658,1.146585
"GRB190613B",-10.9611,4.42656,-11,-10.9221,4.35914,4.49398,2.20639406443087,"0.7558748556724915",0.0533344100582941,"1.84","0.24",21.4200792489025,16.5402054901977,1.90583,0.987946,0.9879455
"GRB190706B",-11.2376,3.61223,-11.3311,-11.144,3.45744,3.76702,1.40071063677323,"0.146128035678238",0.0620420688433217,"1.90","0.23",21.5298353273365,6.34883608805165,1.98504,0.994626,0.9946245
"GRB190719C",-11.0479,4.666,-11.1253,-10.9705,4.60248,4.72953,2.26881190373978,"0.7403626894942439",0.0236887899219956,"1.64","0.09",20.9538258694985,9.68928564596491,1.5415,1.42354,1.42354
"GRB190821A",-10.36847409,3.502563782,-10.50678799,-10.20226656,3.376190987,3.69086837,1.75663610824585,"0.447158031342219",0.0465315516324913,"2.03,","0.1",21.549357055614,0,1.71274,1.09868891,1.106060305
"GRB190824A",-10.57249958,3.859869434,-10.61040636,-10.52413754,3.787669835,3.958741019,2.22891340599469,"0.698970004336019",0.0434294481903252,"1.62,","0.08",22.1089311784672,0,2.18884,0.87467774,0.8817518555
"GRB191004A",-10.57249958,3.859869434,-10.61040636,-10.52413754,3.787669835,3.958741019,0.387389826338729,"0.89209460269048",0.0278393898655931,"1.35,","0.08",20.7782033625948,0,1.80978,0.87467774,0.8817518555
"GRB191017B",-11.02064155,3.664634775,-11.07064437,-10.93232757,3.547347056,3.786266764,0.77451696572855,"0.278753600952829",0.0685728129320924,"1.82,","0.2",20.9927762758534,0,1.54322,1.070748196,1.0670177985
"GRB191029A",-12.0011996,4.214169923,-12.12479163,-11.82652738,4.071792057,4.358095756,1.59659709562646,"0.0413926851582251",0.118443949609978,"1.77,","0.21",20.5421018299469,0,1.80812,1.312003004,1.2789020695
"GRB191101A",-11.35506604,4.467589848,-11.40080246,-11.30898238,4.410021345,4.540554425,2.1397217048152,"0.113943352306837",0.100221803516135,"1.78,","0.18",20.8833928275429,0,1.9989,0.954135398,0.960751407
"GRB191123A",-11.22175607,4.197593038,-11.34557085,-11.10498792,4.118143503,4.299538485,2.43949059038968,"0.0791812460476248",0.072382413650542,"1.67,","0.25",20.6812412373756,0,1.98,1.542811774,1.552963801
"GRB191220A",-11.74516561,4.052629652,-11.8979218,-11.61068264,3.788878148,4.423186909,2.24440083380137,"0.0413926851582251",0.157925266146637,"2.12,","0.4",21.18385616163,0,1.99781,0.635127087,0.627583076
"GRB191228A",-10.44176367,3.806005268,-10.52780784,-10.34633978,3.740368185,3.894494036,2.22245633667925,"-0.221848749616356",0.144764827301084,"2.06,","0.14",21.5497699611327,0,2.16743,1.306703041,1.307386854
