GRBID	Fbest	T_abest	F_min	F_max	T_amin	T_amax	logT90	logPeakFlux	errorlogPeakFlux	photon_index	errorphotonindex	logNH	T90_err
GRB050128	-9.55803	2.89188	-9.63398	-9.48207	2.81994	2.96382	1.28330122870355	0.8704039052790271	0.0427270851468159	0.7	-0.3	21.0284541237804	9.05538513813742
GRB050607	-11.5579	3.86029	-11.6181	-11.4977	3.77922	3.94135	1.42160392686983	-0.022276394711152253	0.0640012920699529	1.92	0.16	21.3651509014936	35.7770876399966
GRB050712	-11.5943	4.37043	-11.6532	-11.5354	4.28876	4.45211	1.71264970162721	-0.2596373105057561	0.142132739531973	1.50	0.18	21.2692583637097	7.60321327139796
GRB050726	-10.4166	3.47822	-10.4579	-10.3752	3.44173	3.51471	1.69810054562339	0.13987908640123647	0.119588335596548	0.90	0.21	20.8995972811555	14.3682227284407
GRB050814	-11.2842	3.70038	-11.3554	-11.2131	3.57617	3.8246	2.17868923977559	-0.14874165128092473	0.152920592219455	1.80	0.17	20.6450251308765	42.786277159289
GRB050822	-11.399	4.40868	-11.437	-11.3609	4.36072	4.45664	2.01452053875792	0.35024801833416286	0.0426539223297837	2.37	0.14	20.9321260884913	16.3472248307154
GRB050922B	-11.4892	5.27032	-11.5873	-11.3912	5.14832	5.39231	2.17868923977559	0.004321373782642578	0.154798033153634	2.17	0.26	21.2649712151637	93.6613105076492
GRB051016A	-11.125	3.3379	-11.1878	-11.0622	3.2291	3.44669	1.36172783601759	0.14301480025409505	0.118727987858443	1.89	0.27	21.6708032110514	6.08276253029822
GRB060105	-8.89733	2.92025	-8.90787	-8.88679	2.9099	2.93059	1.73559889969818	0.8715729355458788	0.0210142491243509	1.07	0.04	21.5320418575274	1.58020250506331
GRB060108	-11.5749	4.05409	-11.6456	-11.5041	3.95692	4.15126	1.15533603746506	-0.11350927482751812	0.0676822569199873	2.03	0.17	20.8823508992935	2.08302088658982
GRB060109	-11.3666	4.15565	-11.4254	-11.3077	4.09875	4.21255	2.06220580881971	-0.3279021420642826	0.110883697507213	1.93	0.24	21.5069715468501	10.9745261292203
GRB060219	-11.4924	3.90781	-11.6133	-11.3714	3.75205	4.06358	1.79309160017658	-0.25181197299379954	0.131839396292059	2.56	0.34	21.5804014551	6.30087866724245
GRB060312	-11.3551	3.66183	-11.4747	-11.2355	3.52387	3.79979	1.7041505168398	0.1846914308175988	0.0397393643571603	1.88	0.09	21.1217597115228	12.3476775316329
GRB060413	-10.4853	4.54121	-10.5993	-10.3713	4.42835	4.65407	2.16938049531195	-0.03151705144606486	0.0560379976649357	1.68	0.08	22.3248851093962	26.8067693610075
GRB060421	-10.5758	3.24342	-10.682	-10.4697	3.11085	3.37599	1.08635983067475	0.46834733041215726	0.0265894580757093	1.55	0.08	22.0952432972889	3.32943478934868
GRB060510A	-9.89639	4.09985	-9.92544	-9.86735	4.07175	4.12796	1.3096301674259	1.167317334748176	0.0333845418061683	1.57	0.07	21.5889179043502	1.13971924174702
GRB060719	-11.0124	3.78765	-11.0634	-10.9614	3.73221	3.84308	1.82542611776782	0.3344537511509309	0.0402124520280789	1.91	0.11	21.523873875843	11.5260985515568
GRB060805A	-12.0257	3.86318	-12.1342	-11.9172	3.74597	3.98038	0.724275869600789	-0.46852108295774486	0.140507038262817	2.20	0.42	20.9841932506923	1.73462734396577
GRB060807	-11.3182	4.29504	-11.3624	-11.2741	4.25608	4.33399	1.73239375982297	-0.08092190762392612	0.0837194181982172	1.58	0.21	21.1668680360146	11.6963052412946
GRB060813	-9.43514	2.80308	-9.4576	-9.41267	2.76869	2.83747	1.20682587603185	0.9464522650130731	0.0191600506722023	1.0	-0.2/0.2	21.6081557627479	3.37232025553383
GRB060923A	-11.0023	3.72998	-11.0757	-10.9289	3.64733	3.81264	1.71349054309394	0.12057393120584989	0.085542852496095	1.70	0.23	21.2185460079791	4.31663248830958
GRB060923C	-11.3585	3.98473	-11.4606	-11.2563	3.79913	4.17033	1.87966920563205	-0.017728766960431602	0.162860430713719	2.27	0.24	21.194356135527	11.1502351458394
GRB061019	-11.1221	4.18079	-11.1832	-11.061	4.09033	4.27125	2.26434550705009	0.32633586092875144	0.0901365905836938	1.92	0.26	22.072744953761	6.405797365844
GRB061202	-11.0231	4.68769	-11.0914	-10.9547	4.60119	4.77419	1.95999483832842	0.3996737214810381	0.0294143673002202	1.58	0.07	21.8427939002985	36.2314643358444
GRB070103	-10.9987	3.53314	-11.0682	-10.9293	3.46645	3.59984	1.26951294421792	0.01703333929878037	0.0626386271975844	1.95	0.21	21.5213303341844	2.00141552168192
GRB070107	-9.99381	3.36646	-10.1004	-9.88717	3.2478	3.48513	2.54070478331076	0.2944662261615929	0.050704431897334	1.33	0.1	21.5918972083864	32.9090465269772
GRB070129	-11.6028	4.49461	-11.6383	-11.5673	4.44778	4.54144	2.66332393362821	-0.2596373105057561	0.0947551596879822	2.01	0.15	21.2135586610946	24.2660876097569
GRB070224	-12.3077	4.34243	-12.4451	-12.1703	4.07022	4.61465	1.53781909507327	-0.46852108295774486	0.140507038262817	2.42	0.3	20.783454051921	20.2237484161567
GRB070328	-9.2568	3.02881	-9.26794	-9.24566	3.01584	3.04179	1.8767949762007	0.6253124509616739	0.0246992122409432	1.24	0.04	21.3970043998704	9.12248740228675
GRB070420	-10.1688	3.73139	-10.1957	-10.1419	3.70192	3.76086	1.88366143515362	0.8524799936368563	0.0463572761582123	1.2	-0.2/0.2	21.6101158896311	5.60807597683475
GRB070517	-11.5013	3.81016	-11.6312	-11.3715	3.66311	3.9572	0.880813592280791	-0.022276394711152253	0.0777158546563714	1.94	0.25	21.1991710643245	3.16227766016838
GRB070621	-10.6032	3.27723	-10.6756	-10.5307	3.17351	3.38095	1.52244423350632	0.3979400086720376	0.0521153378283902	1.57	0.06	21.6530628976851	2.77631123696316
GRB070628	-10.3432	3.97958	-10.4665	-10.2199	3.88113	4.07804	1.59217675739587	0.7075701760979364	0.025546734229603	1.91	0.09	21.8755826826928	4.03407337007759
GRB080129	-11.0339	3.99429	-11.106	-10.9617	3.90781	4.08077	1.68124123737559	-0.6989700043360187	0.217147240951626	1.34	0.26	21.9206001619667	35.7770876399966
GRB080205	-9.73889	2.81358	-9.92239	-9.55539	2.68249	2.94466	2.02734960777476	0.146128035678238	0.0620420688433217	2.08	0.12	21.3315932887924	4.95726093935357
GRB080212	-11.2568	4.19497	-11.3078	-11.2059	4.14746	4.24248	2.0899051114394	0.07918124604762482	0.108573620475813	0.31	0.64	21.2333880683653	13.2866805477133
