"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux"
"GRB140419A",1.97634997900327,-10.00568285,3.68383,1.36898,0.678,1.87322,-4.795880017,1.21,22.04094236,0.69019608
"GRB140423A",2.12710479836481,-10.85078089,3.90552,1.18974,0.77,2.06486,-5.026872146,1.33,21.81946365,0.322219295
"GRB140430A",2.23954972084047,-11.36251027,4.14388,0.875171,1.03,2.15785,-5.958607315,2,21.67796993,0.397940009
"GRB140506A",2.04571405894087,-9.903089987,3.30686,0.948932,0.9,1.74751,-5.552841969,1.68,21.81764402,1.037426498
"GRB140509A",1.3654879848909,-11.09770006,3.58709,1.40649,0.86,1.93407,-5.920818754,1.59,20.90144742,0.204119983
"GRB140512A",2.18977095634687,-9.504455662,3.53686,1.25134,0.871,1.84304,-4.853871964,1.45,21.32824297,0.832508913
"GRB140518A",1.78175537465247,-11.31158018,3.77824,1.64981,0.94,1.93772,-6,0.92,22.46148952,0
"GRB140614A",2.85733249643127,-10.9589,3.70006,1.35595,0.83,1.77015,-5.886056648,1.5,21.3989672,-0.420216403
"GRB140629A",1.6232492903979,-9.847711656,2.85608,1.16056,0.815,1.95996,-5.619788758,1.86,21.74269921,0.62324929
"GRB141004A",0.593286067020457,-10.61083392,3.30337,1.54959,1.08,1.79496,-6.173925197,1.86,21.49730845,0.785329835
"GRB141121A",2.74028371968188,-12.65757732,5.76634,2.33322,0.82,1.93447,-5.27572413,1.73,21.59590717,-0.045757491
"GRB141220A",0.857935264719429,-9.872830386,2.77561,1.42066,1.1,1.80565,-5.585026652,0.62,21.48574413,0.949390007
"GRB150120B",1.38560627359831,-10.79048499,3.39431,1.17705,0.92,2.01678,-6.26760624,2.2,21.52664292,0.079181246
"GRB150314A",1.16996817399689,-8.609064893,2.49217,1.19079,0.73,1.84772,-4.657577319,1.08,22.01715025,1.58546073
"GRB150403A",1.61172330800734,-8.821023053,3.19694,1.24471,0.679,1.70996,-4.769551079,1.23,21.79039707,1.245512668
"GRB150821A",2.23578087032756,-8.853871964,2.95174,1.82628,0.848,2.21622,-6.102372909,2.1,22.340573,-0.337242168
"GRB150910A",2.04999285692014,-9.970616222,3.85419,2.03808,0.6645,1.78547,-5.318758763,1.42,20.842422,0.041392685
"GRB151021A",2.04218159451577,-9.642065153,3.15765,1.33346,1.27,1.96079,-4.552841969,1.57,22.33647975,0.986771734
"GRB151027A",2.11290649025331,-9.935542011,3.99907,1.74508,0.9235,2.00612,-5.107905397,1.72,21.65076489,0.832508913
"GRB151029A",0.951823035315912,-10.76639985,2.7098,1.23481,1.25,2.307153,-6.408935393,0.49,21.55195354,0.255272505
"GRB151031A",0.698970004336019,-11.5214335,3.69323,0.897942,1.24,2.12551,-6.494850022,2.41,21.98623592,0.230448921
"GRB151112A",1.28600712207947,-11.6171,4.43227,1.1526,1.24,2.17922,-6.026872146,1.77,21.0151543,0.278753601
"GRB151215A",1.25042000230889,-10.72815839,3.06337,1.07478,1.015,2.20942,-6.508638306,1.99,21.45079548,0.204119983
"GRB160117B",1.77815125038364,-11.74958,4.10299,0.973333,0.64,1.83834,-6.4710833,1.73,20.95374423,-0.096910013
"GRB160121A",1.07918124604762,-11.17263073,3.8244,0.798663,1.02,2.2054,-6.214670165,1.77,21.79728278,0.079181246
"GRB160203A",1.30535136944662,-11.36754271,3.66139836,1.146279559,0.61,1.75592,-5.920818754,1.93,22.0158332,0.113943352
"GRB160227A",2.50037371435337,-10.99567863,4.47751,1.10229,0.679,1.72551,-5.508638306,0.75,21.4198963,-0.22184875
"GRB160327A",1.44715803134222,-11.22402567,3.76407,1.49693,0.78,1.93554,-5.853871964,1.84,20.72655851,0.255272505
"GRB160804A",2.15896526038341,-11.5214335,4.38419,0.948229,0.92,1.87827,-4.943095149,1.4,21.30214687,0.462397998
"GRB161108A",2.02160271602824,-11.81247928,4.69106,0.883711,0.84,2.00325,-5.958607315,1.85,21.16074757,-0.22184875
"GRB161117A",2.09933527768596,-10.74958,4.08464,1.141,1.375,1.92624,-4.698970004,1.19,21.87736847,0.832508913
"GRB161129A",1.55059520748933,-10.43651891,3.70506,2.32574,0.71,1.74506,-5.443697499,1.57,21.51361441,0.531478917
"GRB161219B",0.841359470454855,-10.13667714,4.0135,0.871656,0.73,1.86204,-5.823908741,1.29,21.16590877,0.72427587
"GRB170202A",1.66464197555613,-10.65364703,3.77629,1.1958,1.04,1.99768,-5.48148606,1.68,21.7153121,0.672097858
"GRB170405A",2.21669359916975,-10.31069114,3.6300738,1.81152426,0.612,1.8473,-5.431798276,1.59,21.67796993,0.462397998
"GRB170519A",2.33525725643453,-11.06348626,4.1513,1.37345,0.975,1.97351,-5.958607315,1.94,21.33992622,-0.15490196
"GRB170531B",2.21518796949713,-11.39577395,3.80257,1.02082,0.99,2.06685,-5.698970004,1.95,22.04094236,-0.096910013
"GRB170705A",2.33705972632052,-10.18641901,3.63746,0.774169,0.66,1.89159,-5.022276395,1.65,21.08891889,1.1430148
"GRB170714A",3,-10.075204,4.28080232,1.45203,0.6815,1.84715,-5.552841969,1.76,21.06857915,-0.397940009
"GRB170903A",1.46538285144842,-11.26042766,4.41384,0.971187,1.14,2.20256,-5.619788758,1.94,21.73970839,0.591064607
"GRB171205A",2.27737997466725,-12.42945706,5.48376,1.13263,0.67,1.66173,-5.443697499,1.41,20.842422,0
"GRB171222A",2.24254142829838,-12.10957898,4.78231,0.718496,1.34,1.99001,-5.721246399,2.07,20.02880298,-0.15490196
"GRB180205A",1.19033169817029,-10.30627305,3.21372,1.09633,1.03,1.88733,-6,2.04,21.4933967,0.531478917
"GRB180329B",2.32221929473392,-11.14935376,4.02296,1.50063,0.77,1.86768,-5.48148606,0.97,21.41988474,0.146128036
"GRB180404A",1.54654266347813,-11.62342304,4.20449,1.17089,0.72,1.62007,-5.886056648,1.95,20.48730103,0.113943352
"GRB180620B",2.29841638006129,-10.98296666,4.6659,1.09835,0.9,1.99236,-5,1.3,21.21643247,0.556302501
"GRB180624A",2.68699356626468,-11.54363397,4.171185481,1.243849338,0.95,2.06008,-5.236572006,1.91,21.1034582,0.146128036
"GRB180720B",1.68928221447305,-8.847711656,3.62033,1.34127,0.729,1.8461,-4.065501549,1.36,21.24271531,1.831869774
"GRB180728A",0.938519725176492,-9.42365865,3.8695,1.1986,0.8595,1.70111,-4.528708289,1.97,21.58733599,2.120573931
"GRB181010A",1.2148438480477,-9.928117993,3.15711,1.07011,1.115,1.76613,-6.161150909,1.52,22.27837171,0.146128036
"GRB181020A",2.37657695705651,-10.42365865,4.29043,2.64643,1.228,1.93674,-5.091514981,1.25,20.65703194,0.886490725
"GRB181110A",2.14113609012074,-10.39577395,3.7664,1.92336,1.7505,1.76057,-5.004364805,2.02,20.88432911,0.568201724
"GRB190106A",1.88536122003151,-10.43297363,4.19124,1.26841,1.9365,1.94587,-5.22184875,1.43,20.9708274,0.740362689
"GRB190114A",1.8234742291703,-10.75202673,3.74534,1.18375,0.86,1.83214,-6.096910013,2.06,21.6447605,-0.301029996
