"GRBID","InvZphot","pred_max","pred_min","Zphot","corrected_prediction","corrected_pred_max","corrected_pred_min","Linear_corrected_prediction","Linear_corrected_pred_max","Linear_corrected_pred_min"
"GRB150615A",0.529094961059069,0.600151413783186,0.473655854777598,2.38138764165532,0.565782900228248,0.677913683321658,0.478297103189152,2.67944995381237,3.76336304843056,2.00813347916531
"GRB150711A",0.445009818267214,0.563659818051501,0.410831849432422,1.78618415628556,0.433092165660071,0.620328044736392,0.379157550814223,1.71076684782778,3.17184385096004,1.39418414701479
"GRB150801B",0.529730191982251,1.50560985913658,0.28747940039285,2.38633712577789,0.566785327708523,2.106774267317,0.184500961904561,2.6879525756308,126.871649457492,0.529329133675814
"GRB150817A",0.368995339215156,0.525997498227039,0.331127543489548,1.33881213873496,0.313137358801945,0.560894942560183,0.253380004952325,1.05654093657932,2.63827014382185,0.792173308602136
"GRB150911A",0.532945213148752,0.969801590540961,0.430034978729852,2.41149872377689,0.571858798550944,1.26124091401522,0.409461088964728,2.73128823312851,17.2490774357619,1.56720818629471
"GRB151001A",0.554708281547144,0.722444686681426,0.503382975614514,2.58680925379468,0.606202053927085,0.870898837117293,0.525208048089508,3.03833231209752,6.42846082038814,2.35125942266714
"GRB151114A",0.370247554434929,0.520246948094743,0.263619808834201,1.345565442176,0.315113419635432,0.551820274956724,0.146849283792402,1.06591961754792,2.56303652985734,0.402326960916512
"GRB151118A",0.514980813141988,0.656673768424579,0.445925585030201,2.27326233491553,0.543510039735433,0.767108902689425,0.434537293306159,2.49550590186838,4.84936743153547,1.71980202822095
"GRB151205A",0.434810032659229,0.73327484887596,0.367730844013592,1.7215106154853,0.416996372755112,0.887989397106498,0.311141919517638,1.61213953761418,6.7266172105232,1.04711348679456
"GRB151228B",0.531874323021162,0.659685024660574,0.468208053742387,2.40309695971193,0.570168878156523,0.771860821859215,0.469700189428383,2.71679731014664,4.91372087080764,1.94917259386326
"GRB160104A",0.427198977853064,0.54842012039338,0.338056422508397,1.67423136306334,0.40498573187925,0.596279008132403,0.264314136907372,1.54088922691591,2.94710798630648,0.837867241601327
"GRB160119A",0.44880211959938,0.614738581632492,0.409787902404027,1.81061991769427,0.439076614669269,0.7009329939029,0.377510148033556,1.7483789568047,4.02265090449266,1.38511952721216
"GRB160123A",0.521767454349357,0.637893034854778,0.439056828771069,2.32481476371246,0.55421971301607,0.737471926995931,0.423698038197203,2.58277646758527,4.46351232334114,1.65276047549736
"GRB160127A",0.54964550489702,0.780500385400805,0.396025011294642,2.54523889150032,0.59821272869846,0.962513753298291,0.35579158907711,2.96472189059225,8.17304984272136,1.26877584164208
"GRB160412A",0.461398398573194,0.57740415615597,0.424729381997191,1.89333285443408,0.458954198917397,0.642017326084821,0.401088580999534,1.87709497773849,3.38548193211713,1.51819049883471
"GRB160417A",0.449750006483629,0.546488517992677,0.382090907461234,1.81676104855747,0.440572429539558,0.593230838944211,0.333802847525216,1.75786135681387,2.91950153570215,1.15676510104693
"GRB160504A",0.460464424885727,0.738109491963051,0.400433794599468,1.88711727207682,0.457480339796242,0.895618715691223,0.362748878746194,1.86734756984855,6.86355114286397,1.30541374833197
"GRB160630A",0.556646888429043,0.729126360983632,0.503891408099238,2.60285586700198,0.609261276551407,0.881442867154794,0.5260103810301,3.06687923711123,6.61102006986285,2.35745639543942
"GRB160705B",0.405161575709555,0.500648093830847,0.335123086688331,1.54191822953611,0.370209563565722,0.520892262199363,0.259685180212096,1.34536026763152,2.31812132896258,0.818382236631129
"GRB160815A",0.470784318015718,0.637190550233881,0.383859265755755,1.95654380500997,0.473765668626251,0.736363369678018,0.33659340901193,1.97690975098586,4.44958423193893,1.17066802541497
"GRB160824A",0.537974602620733,0.65885576195859,0.482238027817754,2.45123556048914,0.579795437073619,0.770552202126611,0.491840219215112,2.8001036033178,4.89592841770838,2.10341760325593
"GRB160905A",0.462392585425179,0.806037319896223,0.426625646194223,1.89996385844905,0.460523077548126,1.00281236592245,0.404080984661883,1.88750721152335,9.06496724604093,1.53560141034405
"GRB161001A",0.536947055629527,0.700236585299775,0.496251717938045,2.44307953994517,0.578173914405769,0.835853296515782,0.513954552072644,2.78594163426846,5.85256709515942,2.265536572885
"GRB161004B",0.418910670560971,0.539629368813715,0.371570348468018,1.62367882696384,0.39190635130857,0.582406744308109,0.31720085751215,1.46550763243738,2.82302153421212,1.0758733692921
"GRB161113A",0.40760502929226,0.504285544662012,0.362150946551983,1.55626002938676,0.374065460576862,0.526632349053205,0.302336550716293,1.36627633600466,2.36226816862874,1.00602596825299
"GRB161214B",0.410434437125576,0.52649736579624,0.363637431787466,1.57296830926726,0.378530413496369,0.561683759618011,0.304682301835598,1.3907293514542,2.64488440580711,1.01689041398912
"GRB161217A",0.364032961601466,0.628489842052158,-0.571679932457878,1.31224027536699,0.3053064684817,0.722633199025231,-1.17129721125512,1.01979116644482,4.27999120384374,-0.932593343047613
"GRB170208B",0.412858732208065,0.496946096065061,0.376017071473849,1.58737115529011,0.382356077396372,0.515050316921018,0.32421801800536,1.41188211677545,2.27378622438955,1.10968695756812
"GRB170317A",0.497620125038426,0.652542134819886,0.417894284566194,2.14499620000858,0.516113969745125,0.760588969681398,0.390302441274361,2.28181404830725,4.7622085122396,1.45641896241123
"GRB170711A",0.457726624684857,0.510210352258011,0.414229727482729,1.86897408061457,0.453159948491757,0.5359820040099,0.384519579342667,1.83896441235939,2.43543712081571,1.42392724025173
"GRB170803A",0.412315438630655,0.625224139415021,0.366768529522208,1.58413643022751,0.38149873183592,0.717479750182602,0.309623337131883,1.40712549009938,4.21770775103616,1.0399679164926
"GRB170822A",0.465408825502847,0.985726917268739,0.338664523335873,1.92017464303638,0.46528286147964,1.28637190899941,0.26527375168366,1.9193277899845,18.3362347077316,0.841932673102737
"GRB171027A",0.48290332439136,0.631488305551441,0.424242201853255,2.04020818840372,0.492890091857606,0.72736493059023,0.400319785359548,2.11092894582122,4.33783236467132,1.51373669750837
"GRB171120A",0.547889899103573,0.640682270426693,0.475077841323211,2.53093643315024,0.595442291322605,0.741873485994734,0.480541072016683,2.93951076286281,4.51916637431704,2.02371651534389
"GRB171123A",0.54285940211038,0.644521346360401,0.473024133735295,2.49027303574138,0.587503905073776,0.747931747761235,0.477300214483701,2.86815532771653,4.59669638812746,2.00123646499238
"GRB171211A",0.436165625062417,0.544746927781942,0.337286990860534,1.73001872007899,0.41913556816802,0.590482518887821,0.263099933694237,1.62503784007741,2.89477630232588,0.832736097123739
"GRB180115A",0.542329921003638,0.672535606847735,0.482705470369746,2.48602037395093,0.586668356311403,0.792139709822384,0.492577867907054,2.86072045245357,5.19640377457278,2.10869323364308
"GRB180224A",0.514847243490634,0.91744481202663,0.416351543208962,2.27225577991417,0.543299259869148,1.17861919072354,0.387867915065057,2.49380980962732,14.0875662712815,1.44268752853548
"GRB180314A",0.416475248170658,0.532474786457886,0.379285367043482,1.60900702313523,0.388063127937298,0.571116440732439,0.32937555863051,1.44378574933656,2.72491563329188,1.13489027368047
