GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
071020,2.145,0.6232492903979004,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982801632249,0.0350998220000003,0.039262062,0.0111532090000001,0.001,6.06060606060606e-08,0.0303030303030303,0.181818181818182
071025A,5.0,2.3768323492908072,-10.728326,3.598901,1.574202,0.901246,,,,,,,0.014091,0.006946,0.01,0.05,,,
071031A,2.69,2.2574145587621874,-10.61165252,3.6599038977,1.1344998084,0.681648,,,,,,,0.0031864448,0.0041804501,0.007754,0.3,,,
071112C,0.82,1.1760912590556813,-10.329080999999999,3.317588,1.230124,0.7188680000000001,,,,,,,0.004697,0.006946,0.0,0.11,,,
071117,1.331,0.8195439355418687,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.82485944742003,0.101024385,0.117162967,0.089387802,0.01,6.06060606060606e-08,0.0363636363636364,0.242424242424242
080310,2.42,2.5622928644564746,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,10.56142698,0.113943352,17.3987512074303,0.0424734299999994,0.03798676,0.0652763515,0.0375,1.21212121212121e-07,0.096969696969697,0.121212121212121
080310A,2.43,2.560456622251033,-10.35129781,3.656142986,1.382866544,0.7114240000000001,,,,,,,0.018764515,0.012374299,0.008815,0.12,,,
080319B,0.937,1.6989700043360187,-12.15181088,5.36799912,1.42250979,0.73,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908319785,0.0977794549999995,0.087626454,0.075139905,0.0,6.06060606060606e-07,0.0121212121212121,0.303030303030303
080319C,1.95,1.5314789170422551,-8.91721463,3.19029,1.45203,1.94,1.61029,-5.443697499,1.37,21.75037415,0.716003344,8.88502944558435,0.0500400000000001,0.04713,0.02854,0.199995173,6.06060606060606e-08,0.0424242424242424,0.181818181818182
080330A,1.51,1.7831886910752577,-10.446506,3.650996,1.377586,0.7114240000000001,,,,,,,0.004697,0.003473,0.0,0.15,,,
080411,1.03,1.7481880270062005,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.0009675337169,0.0604354300000001,0.049275581,0.010296793,0.0,6.06060606060606e-08,0.0181818181818182,0.545454545454546
080413A,2.43,1.666049738480516,-9.676198,3.0848970000000002,1.2511899999999998,0.7486440000000001,,,,,,,0.018788,0.020838,0.04,0.37,,,
080413B,1.1,0.8438554226231612,-11.179238,4.380326,2.192138,0.830528,,,,,,,0.023485000000000002,0.006946,0.1,0.04,,,
080430,0.767,1.209515014542631,-11.17198494,4.21762911,0.99269763,3.18,2.03541,-5.920818754,1.73,21.51787914,0.414973348,2.18311336401004,0.0281809649999998,0.038388523,0.020935069,0.0755,6.06060606060606e-08,0.0545454545454545,0.121212121212121
080516,3.2,0.7634279935629372,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433189357,0.0778036650000002,0.111057696,0.084888358,0.03,2.42424242424242e-08,0.163636363636364,0.181818181818182
080603A,1.69,1.7781512503836436,-10.64378,3.74824,1.272256,0.87147,,,,,,,0.014091,0.010419,0.02,0.31,,,
