"","log10PeakFlux","PhotonIndex","log10Ta","log10NH","log10Fa","log10T90","Alpha","Beta","log10Fluence","Gamma","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10NHSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","GammaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"080710A",0,1.47,4.09266933,20.89722339,-11.23284413,2.077948999,1.52133785,1.3,-5.853871964,2.00149,0,2.1609,16.7499422447226,436.693945411563,126.176787248875,4.3178720424451,2.31446885384262,1.69,34.2678169709052,4.0059622201,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0.062042069,0.23,0.086858896,"080710A",0.845,0.265996370495079
"080810A",0.301029996,1.34,3.2687548,21.45079548,-9.931814138,2.03666881,1.44529526,1.079,-5.337242168,2.11482,0.09061905849176,1.7956,10.684757942523,460.136626724788,98.6409320717767,4.14801984162682,2.08887838857847,1.164241,28.4861539598773,4.4724636324,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.043429448,"080810A",3.35,0.638489256954637
"080928A",0.322219295,1.77,4.08450503,21.51035195,-11.1260984,2.368584372,1.76031774,0.99,-5.602059991,2.13864,0.103825274070297,3.1329,16.6831813400953,462.695241012869,123.790065606483,5.61019192728263,3.09871854575871,0.9801,31.3830761427629,4.5737810496,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.02068069,"080928A",1.692,0.430075055551939
"081007A",0.414973348,2.51,3.58176278,21.69605744,-10.58502665,0.958563883,1.00469263,0.92,-6.148741651,2.102,0.172202879550329,6.3001,12.8290246121933,470.718908439779,112.04278918121,0.918844717792038,1.00940728077632,0.8464,37.8070238907422,4.418404,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0.5295,0.184549481320698
"081008A",0.113943352,1.69,3.85550833,21.1376737,-10.79317412,2.268297087,1.47398467,0.84,-5.366531544,1.98207,0.0129830874649959,2.8561,14.8649444826994,446.801249447672,116.492607584638,5.14517167489269,2.17263080739501,0.7056,28.799660812747,3.9286014849,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.033407268,"081008A",1.9685,0.472537053262077
"081029A",-0.301029996,1.43,4.48156171,21.49704581,-11.86327943,2.431283332,2.51960373,0.87,-5.677780705,1.95818,0.09061905849176,2.0449,20.0843953605381,462.122978557239,140.737398834261,5.91113864046102,6.34840295622991,0.7569,32.2371937340703,3.8344689124,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.041361379,0.18,0.173717793,"081029A",3.8479,0.685553652846326
"081221A",1.260071388,1.21,2.93195749,21.57331844,-9.354577731,1.531478917,1.23586126,0.991,-4.742321425,2.4947,1.58777990285625,1.4641,8.5963747231671,465.408068513644,87.5081245253211,2.34542767321549,1.52735305396879,0.982081,22.489612498014,6.22352809,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.007198251,0.13,0.011931167,"081221A",2.26,0.513217600067939
"081230A",-0.15490196,1.97,3.66959365,20.67248024,-11.32975415,0.907209226455443,0.99376498,1.02,-6.086186148,2.08621,0.0239946172118416,3.8809,13.4659175561203,427.35143927319,128.363329099442,0.823028580565884,0.9875688354744,1.0404,37.0416618281071,4.3522721641,0.740704337003765,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771007,"081230A",2.1,0.491361693834273
"090102A",0.740362689,1.36,3.15380077,21.72376179,-9.457174573,1.432006687,1.42487631,0.667,-7.167491087,1.76997,0.548136911263311,1.8496,9.94645929685259,471.921826308664,89.4381509041977,2.05064315161272,2.03027249879922,0.444889,51.3729284822244,3.1327938009,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",1.547,0.406028944963615
"090205A",-0.301029996,2.15,3.70655,21.81792086,-11.3419886,0.944482672,1.29089,1.01,-6.721246399,2.03416,0.09061905849176,4.6225,13.7385129025,476.021670653223,128.64070540253,0.89204751770826,1.6663969921,1.0201,45.1751531560705,4.1378069056,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.068572813,0.23,0.086858896,"090205A",4.6497,0.752025387323213
