,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
080413B,1.1,0.903089987,-13.54,5.62,2.29,0.74,1.93206,-5.494850022,1.26,21.31329763,1.271841607,,0.05,0.02,0.1,0.04,0.013571703,0.27,0.018579443,1
080516A,3.2,0.763427994,-12.3922771815027,4.11846692792739,0.974451217480326,0.932166599563619,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.739863533813216,0.58929514909501,0.340435386281049,0.225133079346832,0.066814536,0.27,0.072382414,0
080603A,1.69,1.77815125,-12.4,3.8,0.98,0.85,2.0146549872069,-5.70558194498092,1.8144820875664,20.9181675200872,0.365016103959771,,0.03,0.03,0.02,0.31,0.0419982454796969,0.181989441665926,0.0645822859728094,1
080603B,2.6893,1.77815125,-12.2511,4.19971,1.26607,0.62115,1.83449,-5.619788758,1.21,21.31611509,0.544068044,,0.01515,0.014815,0.02688,0.06837,0.018095603,0.3,0.024816828,1
080607A,3.04,1.899984563,-11.2452,2.024669,1.543158,0.98,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.028099,0.025586,0.031343,0.0606,0.0,0.04,0.02068069,0
080710A,0.85,2.077948999,-11.7,4.01,1.52,0.8,2.00149,-5.853871964,1.47,20.89722339,0.0,17.43704666,0.01,0.01,0.01,0.09,0.062042069,0.23,0.086858896,0
080810A,3.35,2.03666881,-10.4242,2.750635,1.160407,0.51,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.019425,0.025429,0.008112,0.13,0.018882369,0.06,0.043429448,0
080905B,2.374,2.10720997,-12.0846483734166,4.04832067236062,1.21067807061001,0.723952460370182,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,28.05833332,0.787780525539262,0.547631686936616,0.341088795121996,0.226517240496525,0.048254942,0.15,0.086858896,0
080928A,1.69,2.368584372,-12.67,4.45,2.25,1.08,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.1,0.07,0.21,0.14,0.034743559,0.12,0.02068069,0
081007A,0.53,0.958563883,-12.93,4.83,1.26,0.27,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,0.09,0.07,0.09,0.11,0.04893459,0.2,0.066814536,0
081028A,3.038,2.414973348,-12.5058664962304,4.60167539408014,1.69377653187399,0.831385372577157,2.51,-5.431798276,1.25,20.90308999,-0.301029996,32.58849643,0.800337818588934,0.589114075091749,0.357634934667457,0.208180538289035,0.023475377,0.38,0.086858896,0
081029A,3.85,2.431283332,-12.6223,4.599535,2.252306,1.08,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,0.095308,0.071694,0.171741,0.02,0.041361379,0.18,0.173717793,0
081203A,2.1,2.46834733,-11.7554,4.027516,1.826152,0.95,2.03508,-5.113509275,1.54,21.66176916,0.462397998,82.96987405,0.126215,0.081744,0.19167,0.06,0.016920564,0.06,0.029951344,0
081221A,2.26,1.531478917,-11.8082854571469,3.67023033794977,1.11995939573463,0.83370814089989,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,0.781653962166946,0.56568238127861,0.328896583614244,0.210608036122254,0.007198251,0.13,0.011931167,0
081228A,3.44,0.477121255,-12.9876,2.80122,1.18347,1.24,2.11824052948599,-7.050609993,2.1,21.16936021,-0.22184875,,0.0492,0.047595,0.036055,0.285,0.0674679414874554,0.31,0.103319586082909,1
081230A,2.1,0.907209226455443,-12.4679138487497,4.06939064941748,0.958161928614876,0.83509432072154,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,0.792518002181151,0.537531810216872,0.332950684951576,0.2116641059114,0.02568693,0.096969697,0.142225970771007,0
090102A,1.55,1.432006687,-12.8492,3.8,1.153525,0.74,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,0.071878,0.063638,0.018438,0.22,0.019160051,0.08,0.063170106,0
090205A,4.6497,0.944482672,-12.4702443060295,4.03201853889192,1.16048215214403,0.832080193919563,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,0.798707653653419,0.594810374103137,0.334715069956632,0.208642952271131,0.068572813,0.23,0.086858896,0
090313A,3.38,1.893872679,-11.4731,3.487381,0.938086,1.0,2.07619,-5.853871964,1.91,22.44115763,-0.096910013,,0.110788,0.148455,0.040385,0.103,0.062042069,0.29,0.162860431,1
090418A,1.608,1.748188027,-12.0016799802357,3.96809406045506,1.3013213548524,0.838977109895662,2.03408,-5.337242168,1.48,22.02365981,0.278753601,4.129211073,0.776943873666508,0.574448624874358,0.318589382766038,0.211613366734442,0.018882369,0.07,0.068572813,0
090423A,8.23,0.989894564,-13.39,4.7,1.12,0.45,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,0.08,0.09,0.1,0.13,0.029443694,0.5,0.051093468,0
090424A,0.544,1.681241237,-11.6972141060118,3.73131314129977,1.0148760788581,0.81776640284886,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0.808889526322666,0.557454215566841,0.345124619688561,0.214812196108228,0.0,0.15,0.012233647,0
090519A,3.85,1.806179974,-12.576509083428,3.93648913314919,1.23197752592628,0.77657850116284,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,8.24011649,0.794188226986066,0.596236388085537,0.402330922522649,0.215907734146012,0.036191207,0.2,0.144764827,0
090618A,0.54,2.05388479,-11.84,4.07,1.04,0.71,1.82831,-3.978810701,1.42,21.39200012,1.589949601,0.593538562,0.01,0.01,0.0,0.02,0.004136138,0.08,0.008931506,0
090726A,2.71,1.773054693,-12.2265,3.354189,1.086752,1.3,2.4288,-6.065501549,2.25,22.02689264,-0.15490196,,0.098827,0.0975,0.195492,0.11,0.050499358,0.19,0.124084138,1
090809A,2.737,0.73239376,-12.5806851476374,4.4891865215332,1.37480137976355,0.814935933341784,1.94644,-6.468521083,1.34,21.91952315,0.041392685,1.216253263,0.803072528147125,0.59127509638492,0.378512562984105,0.214443118456464,0.063866836,0.24,0.078962633,0
090812A,2.452,1.824125834,-12.1078534995617,4.00476888327027,1.17679800243495,0.769854107304442,1.88559,-5.236572006,1.24,21.77771022,0.556302501,14.65837332,0.747116171714547,0.593636302238187,0.32610492716121,0.214036002495203,0.014975672,0.05,0.024127471,0
090927A,1.37,0.342422681,-12.5736749932282,4.3378520255285,1.05562935096441,0.82961479810776,2.06549,-6.698970004,1.8,21.01785522,0.301029996,0.400898978,0.774324792432609,0.558981297825457,0.33996128573762,0.216225706210881,0.065144172,0.2,0.043429448,0
091018A,0.971,0.639486489,-12.6087,4.381196,1.272917,0.60705,1.98015,-5.853871964,1.77,21.19187281,1.012837225,0.601065704,0.009407,0.009379,0.012642,0.01791,0.031021034,0.24,0.016865805,0
091020A,1.71,1.590061231,-10.8705,2.58947,1.08875,1.06,2.08587,-5.431798276,1.53,21.70587483,0.62324929,4.875038864,0.04935,0.04193,0.00706,0.09,0.011737689,0.07,0.031021034,0
091024A,1.09,1.995196292,-11.21,3.97,1.63,0.64,1.49013,-5.214670165,1.2,22.23512426,0.301029996,,0.04,0.03,0.04,0.29,0.021358745,0.08,0.065144172,1
091029A,2.75,1.593286067,-12.77,4.45,1.1,0.43,2.11535,-5.619788758,1.46,21.45058625,0.255272505,4.829610314,0.01,0.02,0.01,0.03,0.018095603,0.27,0.024127471,0
091109A,3.076,1.681241237,-12.3420090267255,3.90495822829208,1.00818393234055,0.81277143675672,1.96352,-5.795880017,1.31,21.89596701,0.113943352,16.70810678,0.775476261815046,0.579440719484329,0.339345510384343,0.201073722038254,0.05428681,0.25,0.133629071,0
091127A,0.49,0.84260924,-12.02,4.42,1.19,0.43,1.80187,-5.045757491,2.05,20.87872913,1.667452953,0.150359555,0.01,0.01,0.01,0.1,0.014476483,0.07,0.025217099,0
091208B,1.063,1.173186268,-12.0699068622662,3.83102894833506,1.09082088862531,0.820082080890634,2.03333,-5.48148606,1.74,21.91211094,1.181843588,2.897723268,0.761375392093741,0.574565679209104,0.349795025637264,0.205022229259242,0.026320878,0.11,0.028572005,0
