"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
35,1446,0.3089,1446,1.355,1908,-0.3327,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+Gamma+log10Fluence+log10T90Sqr+log10FluenceSqr"
36,1324,0.5574,1324,1.1246,294,0.2402,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
37,1320,0.5833,1320,1.5645,1122,-0.5685,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+log10T90Sqr+log10FluenceSqr"
38,1280,0.587,1280,1.2002,1280,-8e-04,5,3,0.5,"Response ~  (log10T90Sqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+GammaSqr+log10FluenceSqr"
39,566,0.4867,566,1.0872,1083,-0.1922,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
40,422,0.3416,422,0.9833,1054,-0.0266,5,3,0.5,"Response ~  (log10FluenceSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr"
41,864,0.3713,566,1.3947,864,-0.036,5,3,0.5,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
42,436,0.3484,436,1.4218,1726,-0.2932,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10Fluence+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
43,761,0.4706,761,1.1707,2028,0.0417,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10Fluence)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
44,784,0.3073,784,1.3221,784,-0.2006,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
45,455,0.6742,455,1.0095,970,0.0149,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
46,989,0.352,989,1.293,108,-0.1181,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+Gamma+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
47,780,0.5226,780,1.3276,189,-0.3639,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10T90Sqr+log10FluenceSqr"
48,1405,0.5348,1405,1.0863,859,-0.1542,4,2,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+log10Fluence+log10T90Sqr+GammaSqr+log10FluenceSqr"
49,566,0.2281,284,1.409,566,-0.2701,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
50,459,0.3907,459,1.2059,419,-0.0311,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr"
51,67,0.5681,67,0.9509,259,-0.2189,5,3,0.5,"Response ~  (GammaSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
52,566,0.4869,566,1.179,2422,-0.0971,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
53,22,0.3012,22,1.4453,1740,-0.2165,5,3,0.5,"Response ~  (GammaSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
54,864,0.6432,864,1.2571,1022,-0.2634,5,3,0.5,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
55,336,0.6101,336,1.207,336,-0.1412,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
56,281,0.4534,281,1.1486,623,-0.1752,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
57,2884,0.4449,2884,1.038,1793,-0.1613,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+Gamma+log10Fluence+log10T90Sqr"
58,455,0.6123,455,1.2508,1190,0.0144,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
59,739,0.4697,739,1.2638,739,-0.067,5,3,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10T90Sqr+GammaSqr+log10FluenceSqr"
60,419,0.5645,419,1.2399,419,-0.3598,5,3,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
61,1281,0.307,1281,1.2272,1281,-0.2014,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
62,2191,0.5586,2191,1.1435,556,-0.0039,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+Gamma+log10T90+log10PeakFlux)^2+log10NH+PhotonIndex+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
63,566,0.4554,566,1.337,862,-0.1333,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
64,1583,0.5687,1583,1.1098,1583,-0.0723,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10T90Sqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr"
65,713,0.628,713,1.0198,1827,0.0089,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10NHSqr+log10T90)^2+log10NH+log10PeakFlux+PhotonIndex+Gamma+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr"
66,1301,0.5037,1301,1.0643,1446,-0.1475,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10Fluence+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
67,784,0.5552,784,1.1733,1878,-0.2341,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
68,739,0.2924,739,1.3478,129,-0.2416,5,3,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10T90Sqr+GammaSqr+log10FluenceSqr"
69,422,0.6041,422,1.2808,422,-0.0115,5,3,0.5,"Response ~  (log10FluenceSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr"
70,1108,0.4162,1108,1.1834,2284,0.09,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10T90Sqr+log10Fluence+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr"
71,1807,0.1899,1807,1.6528,1877,-0.2417,5,3,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+log10T90+PhotonIndex+log10NH)^2+log10PeakFlux+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
72,566,0.6422,1574,1.1174,1574,-0.3889,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
73,784,0.5599,784,1.044,713,-0.1377,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
