"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","log10Fa","Alpha","Beta","log10T90","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","log10FaSqr","AlphaSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","Response"
"GRB090618",1.589949601,1.42,21.39200012,3.67275453,-9.640164518,1.30942861,0.8945,2.05384642685225,1.82831,-3.978810701,2.52793973372006,2.0164,457.61766913408,13.4891258376355,92.9327719341062,1.71460328468653,0.80013025,4.21828514509375,3.3427174561,15.8309345943921,0.187520720836463
"GRB090812",0.556302501,1.24,21.77771022,3.52924,-10.16730017,1.37252,0.53,1.82412583391655,1.88559,-5.236572006,0.309472472618855,1.5376,474.268662426292,12.4555349776,103.373992746882,1.8838111504,0.2809,3.32743505796175,3.5554496481,27.4216863740229,0.538070787043172
"GRB091018",1.012837225,1.77,21.19187281,2.89655535,-9.627087997,1.18074867,0.91,0.643452676486187,1.98015,-5.853871964,1.0258392443457,3.1329,449.095473195217,8.39003289561362,92.6808233019815,1.39416742170677,0.8281,0.414031346877238,3.9209940225,34.2678169709052,0.294686624279443
"GRB091020",0.62324929,1.53,21.70587483,2.95265011,-9.71219827,1.17417264,0.895,1.53907609879278,2.08587,-5.431798276,0.388439677485504,2.3409,471.145002135627,8.71814267208301,94.326795235791,1.37868138852457,0.801025,2.3687552378752,4.3508536569,29.5044325111566,0.432969290874406
"GRB091029",0.255272505,1.46,21.45058625,4.30368998,-11.34678749,1.12123368,1.064,1.59328606702046,2.11535,-5.619788758,0.065164051808975,2.1316,460.127650468689,18.5217474439524,128.74958634322,1.25716496516634,1.132096,2.53856049136153,4.4747056225,31.5820256845432,0.574262829707027
"GRB091127",1.667452953,2.05,20.87872913,3.98466812,-9.844663963,1.39581701,0.758,0.851258348719075,1.80187,-5.045757491,2.78039935046842,4.2025,435.921330083911,15.8775800265443,96.9174085443909,1.94830512540534,0.574564,0.724640776263926,3.2467354969,25.4596686579826,0.173186268412274
"GRB050820A",0.389166084,1.25,21.61964524,3.750945731,-10.01818139,1.136499703,0.9,1.41497334797082,1.96878,-5.463441557,0.151450240935895,1.5625,467.409060303455,14.0695938769071,100.363958362942,1.29163157491909,0.81,2.00214957546775,3.8760946884,29.8491936467546,0.558072259099146
"GRB051016B",0.113943352,2.4,21.71466751,4.25742,-11.59006688,1.14771,0.73,0.602059991327962,1.89482,-6.769551079,0.0129830874649959,5.76,471.52678506985,18.1256250564,134.329650282873,1.3172382441,0.5329,0.362476233157826,3.5903428324,45.8268218111901,0.286995073968852
"GRB051109A",0.595496222,1.51,21.97057233,3.91123,-10.51999306,1.22299,1.06,1.5705429398819,2.06584,-5.657577319,0.354615750416273,2.2801,482.706048507762,15.2977201129,110.670253982448,1.4957045401,1.1236,2.46660512601288,4.2676949056,32.0081811204632,0.524525936626376
"GRB060223A",0.130333768,1.74,22.49782636,2.78682,-10.9636,1.1892,0.81,1.05307844348342,2.01015,-6.171984936,0.0169868910810778,3.0276,506.152190924711,7.7663657124,120.20052496,1.41419664,0.6561,1.10897420812946,4.0407030225,38.0933980502109,0.733197265106569
"GRB060502A",0.227886705,1.46,21.45692297,3.3865,-10.55284197,0.897152,0.87,1.45331834004704,2.02719,-5.63638802,0.051932350315757,2.1316,460.399543340514,11.46838225,111.362473643793,0.804881711104,0.7569,2.11213419751708,4.1094992961,31.7688699119995,0.398391440229475
"GRB060510B",-0.244125144,1.78,22.00215742,4.43617,-12.2656,1.00735,1.38,2.43964842956347,2.1317,-5.390405591,0.0595970859330207,3.1684,484.094931134461,19.6796042689,150.44494336,1.0147540225,1.9044,5.95188445987151,4.54414489,29.0564724354841,0.770852011642144
"GRB060607A",0.146128036,1.47,21.79614607,4.37412,-11.02273379,1.10818,0.564,2.00945089579869,1.61002,-5.59345982,0.0213534029052173,2.1609,475.071983504776,19.1329257744,121.500660205208,1.2280629124,0.318096,4.03789290262616,2.5921644004,31.2867927579544,0.610116955411928
"GRB060904B",0.387389826,1.64,21.59122827,3.87074,-11.11633856,1.36265,1.58,2.23426412437879,2.18877,-5.790484985,0.15007087728831,2.6896,466.181138207247,14.9826281476,123.572982980543,1.8568150225,2.4964,4.99193617748612,4.7907141129,33.5297163615105,0.231214647962601
"GRB060912A",0.933487288,1.74,21.36738202,2.455171016,-10.1079054,1.045731532,0.63,0.698970004336019,1.8948,-5.869666232,0.871398516857595,3.0276,456.565014388619,6.02786471780647,102.169751575349,1.09355443701907,0.3969,0.488559066961494,3.59026704,34.4529816750811,0.287129620719111
"GRB061110A",-0.27572413,1.67,20.92661714,2.24983,-8.33235,1.45203,1.98,1.60959440922522,1.82722,-5.974694135,0.0760237958642569,2.7889,437.923304924142,5.0617350289,69.4280565225,2.1083911209,3.9204,2.59079416220908,3.3387329284,35.6969700068034,0.244969460136198
"GRB061222A",0.930949031,1.35,22.56660835,3.92091,-9.954677021,1.35061,0.86,1.85369821177617,1.92748,-5.097453221,0.866666098319839,1.8225,509.25181242229,15.3735352281,99.0955945924254,1.8241473721,0.7396,3.43619706034217,3.7151791504,25.9840293402833,0.489677291663699
"GRB070721B",0.176091259,1.34,21.89473409,3.94739,-10.50863831,2.5054,0.52,2.53147891704225,1.52512,-5.443697499,0.0310081314962051,1.7956,479.379380871808,15.5818878121,110.4314791304,6.27702916,0.2704,6.4083855074294,2.3259910144,29.6338424606189,0.665205628434601
"GRB070810A",0.278753601,2.04,21.93100401,3.36583,-10.77728353,1.36994,1.02,1.04139268515823,2.17076,-6.161150909,0.0777035700704672,4.1616,480.968936886636,11.3288115889,116.149840286009,1.8767356036,1.0404,1.08449872470107,4.7121989776,37.9597805234715,0.501059262217751
"GRB080319B",1.394451681,1.04,20.8771334,5.36799912,-12.15181088,1.42250979,0.73,1.69897000433602,1.81426,-4.091514981,1.94449549064373,1.0816,435.854699001396,28.8154145523208,147.666507663286,2.02353410264584,0.5329,2.88649907563354,3.2915393476,16.7404948397474,0.287129620719111
"GRB080319C",0.716003344,1.37,21.75037415,3.19029,-8.91721463,1.45203,1.94,1.53147891704226,1.61029,-5.443697499,0.512660788619182,1.8769,473.078775664988,10.1779502841,79.516716757486,2.1083911209,3.7636,2.34542767334493,2.5930338841,29.6338424606189,0.469822015978163
"GRB080905B",-0.301029996,1.78,22.33533151,3.67820615,-10.11125904,1.36946226,0.375,2.10720996964787,1.86248,-5.744727495,0.09061905849176,3.1684,498.867033661599,13.5292004818978,102.237559373982,1.87542688156431,0.140625,4.44033385618338,3.4688317504,33.001893991809,0.528145078253106
"GRB081028A",-0.301029996,1.25,20.90308999,4.75426,-11.3994,2.20023,0.945,2.41497334797082,2.51,-5.431798276,0.09061905849176,1.5625,436.939171130038,22.6029881476,129.94632036,4.8410120529,0.893025,5.83209627140939,6.3001,29.5044325111566,0.60616631460762
"GRB081203A",0.462397998,1.54,21.66176916,4.02089,-10.9243983,1.86904,0.82,2.46834733041216,2.03508,-5.113509275,0.213811908554408,2.3716,469.232243141127,16.1675563921,119.342478217043,3.4933105216,0.6724,6.09273854355284,4.1415506064,26.147977105511,0.491361693834273
"GRB090418A",0.278753601,1.48,22.02365981,3.52813657,-10.04720756,1.52909667,0.98,1.7481880270062,2.03408,-5.337242168,0.0777035700704672,2.1904,485.041591426609,12.4477476565714,100.946379753721,2.33813662620509,0.9604,3.05616137776783,4.1374814464,28.4861539598773,0.416307587059883
"GRB090516A",0.204119983,1.84,21.19589965,4.33113504,-11.27490548,1.76098314,0.502,2.32221929473392,2.09,-5.045757491,0.0416649674599203,3.3856,449.26616197287,18.7587307347158,127.123493582934,3.10106161936426,0.252004,5.3927024528345,4.3681,25.4596686579826,0.708335902682263
"GRB091109A",0.113943352,1.31,21.89596701,3.37933883,-11.14630179,1.06152816,0.89,1.68124123737559,1.96352,-5.795880017,0.0129830874649959,1.7161,479.433371303008,11.4199309279458,124.240043593757,1.12684203447299,0.7921,2.8265720982522,3.8554107904,33.5922251714599,0.610234175334389
"GRB091208B",1.181843588,1.74,21.91211094,3.31388094,-10.18045606,1.1606541,0.86,1.17318626841227,2.03333,-5.48148606,1.39675426649671,3.0276,480.140605846868,10.9818068844953,103.641685589591,1.34711793984681,0.7396,1.37636602039111,4.1344308889,30.0466894259743,0.314499227973151
"GRB100219A",-0.397940009,1.34,21.75351565,4.7218991,-12.13548892,0.998947,0.46,1.27415784926368,1.58721,-6.431798276,0.15835625076292,1.7956,473.215443134795,22.2963311105808,147.270091327443,0.997895108809,0.2116,1.62347822484025,2.5192355841,41.3680290631566,0.753330221324521
"GRB100418A",0,2.16,21.06857915,5.54363,-12.48811664,1.81145,0.84,0.845098040014257,2.26662,-6.468521083,0,4.6656,443.885027399815,30.7318335769,155.953057214245,3.2813511025,0.7056,0.714190697235939,5.1375662244,41.8417650012155,0.21045229296202
"GRB100425A",0.146128036,2.42,20.53466438,3.60199415,-11.50168945,0.86819371,1.46,1.56820172406699,2.17077,-6.327902142,0.0213534029052173,5.8564,421.672441199241,12.9743618566342,132.288860204241,0.753760318083564,2.1316,2.45925664736668,4.7122423929,40.0423455187282,0.440121603187804
"GRB100513A",-0.22184875,1.62,22.05240534,3.74522911,-11.57186521,0.96306136,1.36,1.92427928606188,2.25722,-5.853871964,0.0492168678765625,2.6244,486.30858127966,14.0267410863914,133.908064438408,0.92748718312505,1.8496,3.70285077076682,5.0950421284,34.2678169709052,0.761326322421457
