"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","Response"
"070529A",0.155336037,22.56252244,1.34,3.09323,-10.24641694,1.21432,2.038222638,0.0241292843908654,509.067418855503,1.7956,9.5680718329,104.989060108319,1.4745730624,4.15435152205568,0.544018407858776
"070612A",0.178976947,21.2559971173378,1.69,4.22951249793824,-10.6329536993555,2.02974082084981,2.566790912,0.0320327475574408,451.817413452272,2.8561,17.8887759702158,113.059704372638,4.11984779982405,6.58841558592579,0.222976449893391
"070714B",0.431363764,21.64321572,1.36,3.22974,-10.74232143,1.64623,1.806179974,0.186074696892248,468.428786702455,1.8496,10.4312204676,115.397469705437,2.7100732129,3.26228609847864,0.28397928423848
"070721B",0.176091259,21.89473409,1.34,3.94739,-10.50863831,2.5054,2.531478917,0.0310081314962051,479.379380871808,1.7956,15.5818878121,110.4314791304,6.27702916,6.40838550721549,0.665205628434601
"070802A",-0.397940009,21.91375294,1.79,3.92184,-11.6716204,1.16348,1.214843848,0.15835625076292,480.212567915359,3.2041,15.3808289856,136.226722761696,1.3536857104,1.47584557502345,0.537819095073274
"070809A",0.079181246,20.80619355,1.69,4.18985,-11.9625735,1.17521,1.16168428403346,0.00626966971811252,432.897690040062,2.8561,17.5548430225,143.103164742902,1.3811185441,1.34951037577033,0.0858968111315881
"070810A",0.278753601,21.93100401,2.04,3.36583,-10.77728353,1.36994,1.041392685,0.0777035700704672,480.968936886636,4.1616,11.3288115889,116.149840286009,1.8767356036,1.08449872437151,0.501059262217751
"071003A",0.799340549,20.86974084,1.36,4.78411,-11.67760082,1.97901,2.170643023,0.638945313275621,435.546082728764,1.8496,22.8877084921,136.366360911265,3.9164805801,4.71169113329858,0.415699348887829
"071010A",-0.096910013,22.13954852,2.33,4.2478511633582,-11.0118546931894,1.83097347076142,0.77815125,0.00939155061966017,490.159608669434,5.4289,18.0442395060436,121.260943783918,3.35246385063212,0.605519367876562,0.298853076409707
"071010B",0.886490725,21.30047157,1.53,3.49507485969924,-10.4438019040828,1.04220546627847,1.552668216,0.785865805511026,453.710089104378,2.3409,12.2155482749017,109.072998211724,1.08619223394072,2.41077858897662,0.289365951520032
