GRB,InvZphot,InvZspec,Dlogz,Zphot,Zspec,Dz,normDz,SD,z_SD,pred_max,pred_min,linpred_max,linpred_min,InvZphot_corrected,Zphot_corrected,pred_max_corrected,pred_min_corrected,linpred_max_corrected,linpred_min_corrected
080330A,0.3902,0.3997,0.0095,1.4558396112487,1.51015188099533,0.054312269746629,0.0216370452154046,0,0,0.424818324553634,0.35982748536205,1.65961224961852,1.28995783296494,0.3149784353848344,1.0652776032239233,0.3526997216374272,0.2818835258638908,1.252681132711083,0.9137426064804526
080411A,0.1704,0.3075,0.1371,0.480471324897625,1.03001851985968,0.549547194962059,0.270710434208277,0,0,0.192566305016799,0.13473377839651,0.557995880491522,0.363746906327665,0.0754769914176524,0.1898082923764736,0.0996301400024584,0.0366138814318045,0.257853724370493,0.0879623875629287
080413B,0.2909,0.3222,0.0313,0.95388950429021,1.09990670376243,0.146017199472216,0.0695350889687602,0,0,0.32513427725629,0.249978206908396,1.1141425995712,0.778190177420596,0.2067778285334187,0.6098218899922792,0.2440806439840753,0.1621880717765242,0.7542062095123174,0.4527405925458954
080516A,0.4919,0.6232,0.1313,2.10384481915954,3.19952334664066,1.09567852748112,0.260905449747669,0,0,0.515776761190543,0.468339918283494,2.27926686823313,1.9399498232807,0.5650219053715144,2.6730082631060137,0.5777167596016868,0.5524954240512399,2.7819585056190443,2.568579892254001
080603A,0.4875,0.4298,-0.0577,2.07255736526745,1.69029559170462,-0.382261773562831,-0.142089135016061,0,0,0.513000875330439,0.461726963713125,2.25837357733977,1.89552263130352,0.4209997752301793,1.636330021388105,0.4487863833469547,0.3929166114170531,1.8105180793678377,1.471249596533752
080607A,0.5054,0.606,0.1006,2.20184275820278,3.03645392967605,0.834611171473272,0.206768412575504,0,0,0.52565040215901,0.466637024314966,2.35467461337045,1.92844467963189,0.5721996180746597,2.7342175703728144,0.5829664009502543,0.5515900252608685,2.827951273521029,2.5611480171601926
080710A,0.5214,0.266,-0.2554,2.3220028446165,0.845015419179474,-1.47698742543703,-0.800528499698873,0,0,0.539790502025285,0.489821333700931,2.46569629469263,2.08902436388479,0.4579383509830795,1.870373097593629,0.4779772581274706,0.4235291782024389,2.0059188932734515,1.6517292442333908
080905B,0.6121,0.5281,-0.084,3.0935490632956,2.37364980873767,-0.719899254557922,-0.213388850464977,0,0,0.642924490238387,0.588481449174223,3.39465200012705,2.87687188154711,0.6289301325506302,3.255299501780983,0.6453189721915229,0.6163725642326998,3.4189488258274663,3.1340199130015733
080928A,0.4995,0.4301,-0.0694,2.15863904842347,1.69215462407529,-0.466484424348183,-0.173275494719555,0,0,0.520161786445757,0.470871390781315,2.31254499764619,1.95713662915349,0.4340753772666041,1.7169107819383376,0.4565891520104638,0.4028806855166168,1.861469703099342,1.528603213423093
081007A,0.3718,0.1845,-0.1873,1.35396499330743,0.529325746418779,-0.824639246888655,-0.539217526952458,0,0,0.386754356269014,0.351499067057832,1.43643234443664,1.24646195018491,0.294929178928983,0.972101116321254,0.3112239465360282,0.2728086022523216,1.0475001702118494,0.8741683620451852
081008A,0.4751,0.4725,-0.0026,1.98607010781653,1.96824674346324,-0.0178233643532852,-0.0060046774724966,0,0,0.503545207986565,0.456590479561396,2.18819743458734,1.8614784500504,0.4074883197925403,1.5555731688388033,0.4384831714155118,0.3873197261975188,1.744625989225459,1.4396061876257753
081028A,0.4624,0.6062,0.1438,1.90001336905407,3.03831321348852,1.13829984443445,0.281875076116526,0,0,0.490012887654131,0.389251485190737,2.09038713814488,1.45048182191172,0.5493372739090858,2.542723628597685,0.5640185609080176,0.5104454943562962,2.6645323581725258,2.2392576594229947
081029A,0.5621,0.6856,0.1235,2.64837944295871,3.84841738708446,1.20003794412575,0.247511269826416,0,0,0.609246083606235,0.521597034742342,3.06673696776383,2.3235103435727,0.7081520352523599,4.10683745842049,0.7353477663753913,0.6847883182990586,4.436855197538819,3.8393643215099305
081221A,0.3658,0.5132,0.1474,1.32166738279313,2.25986788904468,0.938200506251553,0.287803229512622,0,0,0.380120828703155,0.352782576223346,1.39950041125577,1.25311093961724,0.4979767518999127,2.1475798173502105,0.5055908847963723,0.4910556164922153,2.2032503686244196,2.0978159854155383
081228A,0.4433,0.6474,0.2041,1.77523650813727,3.44017410806895,1.66493759993167,0.37497124198487,0,0,0.465446628519093,0.415572021653715,1.9204288397133,1.60358656392033,0.5391821396401913,2.4608449246854085,0.5509571127404382,0.524439660943253,2.5559620115385338,2.3453353593572004
081230A,0.4916,0.4914,-0.0001999999999999,2.10170149947769,2.10027344199819,-0.0014280574794982,-0.0004606230728402,0,0,0.532550349026581,0.459763036018972,2.40839837066834,1.88245831902244,0.5648624006447778,2.671659513280387,0.5866349814156167,0.5479352465117258,2.8604237731328666,2.531305139597281
090102A,0.442,0.406,-0.036,1.76694164541151,1.54683025258504,-0.22011139282647,-0.0864256236170653,0,0,0.470801231386161,0.417153321005128,1.95665894829733,1.61308370069757,0.3714214508420684,1.3519140733447674,0.4028042374891042,0.3443476769700898,1.528158147405969,1.209773071765612
090313A,0.6125,0.6415,0.0289999999999999,3.09732109813542,3.3802611117036,0.282940013568188,0.0645943258524479,0,0,0.637694663278395,0.597924273903785,3.34204843133144,2.96208942950537,0.6291428055196124,3.257383822070267,0.6425383651244128,0.6213931481597332,3.390746513274011,3.18208781804917
090418A,0.5524,0.4163,-0.1361,2.56779588288562,1.6079544390266,-0.959841443859019,-0.368043793056934,0,0,0.580942815152563,0.531597499761217,2.81015650625549,2.40092848587757,0.4917169895771771,2.102537143587175,0.5228181972383563,0.4690498883700971,2.33286864233075,1.9447598854679873
090423A,0.7338,0.9666,0.2328,4.41751347231347,8.25976574561247,3.842252273299,0.414940548049994,0,0,0.769621501530528,0.668874816360289,4.88330686992825,3.6652488700714,0.8071954059133106,5.41498146530627,0.8278586688936245,0.7697439846642822,5.727576872093004,4.884966360244865
090424A,0.3393,0.1886,-0.1507,1.18423820913757,0.54383186282482,-0.640406346312748,-0.414816121971318,0,0,0.365379018026973,0.297629454842939,1.31941797231452,0.984401080530977,0.2595160900803323,0.8176743974652947,0.2879326618487863,0.2141104679874489,0.9405849630281627,0.6372329182110121
090618A,0.26,0.1875,-0.0725,0.819700858609983,0.539926526059492,-0.279774332550491,-0.181680312544784,0,0,0.270398090104885,0.250767156574979,0.863794775925307,0.781423415813256,0.1731081532896247,0.4897320226925665,0.1844382606354883,0.1630477377654416,0.5291083527087144,0.4556190738259149
090726A,0.5185,0.5694,0.0509000000000001,2.29989407910835,2.71022288617465,0.410328807066304,0.110594112444108,0,0,0.536128619405747,0.490315241791887,2.43659710102514,2.09253940282414,0.5791646578088229,2.794588251980971,0.5885374848790114,0.5641793172884191,2.877372134884498,2.665889055124557
