"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"051111A",1.776555911,-9.96844140348108,3.31732276166453,1.21342752258022,0.915431303963472,2.23019,-5.389339837,1.32,21.79196559,0.424881637,0.581982802,0.917895604076175,0.515149522172182,0.270217451308826,0.175405308072509,0.014263593,0.06,0.034286406,0.00422803478251081,1.55,0.406540180433955
"060115A",2.144885418,-11.29499204,3.69688,0.889919,1,2.10553,-5.76700389,1,21.43355223,-0.060480747,15.0870791,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,0.0469357822743554,3.53,0.656098202012832
"060124A",1.134495856,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.306782322,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,0.0416381769095578,2.296,0.517987203025078
"060206A",0.880241776,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.933560454,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,0.110636974360534,4.048,0.703119346236078
"060210A",2.40654018,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976523,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,0.207740121229715,3.91,0.691081492122968
"060223A",1.053078443,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,0.042104904450281,4.41,0.73319726510657
"060306A",2.13255996245349,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.518840719,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,0.011262218728324,1.559,0.408070285887185
"060418A",2.158362492,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254834,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,0.136485588124709,1.489,0.396024896608593
"060502A",1.45331834,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,0.150287880735964,1.5026,0.398391440229475
"060510B",2.43964843,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,0.0335971369822932,4.9,0.770852011642144
"060512A",0.92890769,-10.718659393973,3.6921980708428,1.09916142702962,0.90522229240089,2.70163,-6.634512015,2.48,21.0438101,-0.055517328,9.827838,0.907732713953452,0.539186180923982,0.275581151967952,0.174144348938998,0.074878359,0.3,0.098703291,0.502729777954843,0.44,0.15836249209525
"060526A",2.47444938,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,21.89473409,0.222716471,23.04821868,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,0.0335716198838349,3.221,0.625415352154408
"060604A",1.977723605,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,0.0777158547080599,2.1357,0.496334505996816
"060605A",2.059904056,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.01416491,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,0.132471980179598,3.78,0.679427896612119
