log10T90,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,Redshift_crosscheck,GRB
0.763427994,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.066814536,0.27,0.072382414,3.2,080516A
1.77815125,2.0146549872069,-5.70558194498092,1.8144820875664,20.9181675200872,0.365016103959771,29.55180898,0.0419982454796969,0.181989441665926,0.0645822859728094,1.69,080603A
1.77815125,1.83449,-5.619788758,1.21,21.31611509,0.544068044,2.36485691,0.018095603,0.3,0.024816828,2.6893,080603B
1.899984563,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.0,0.04,0.02068069,3.036,080607A
2.077948999,2.00149,-5.853871964,1.47,20.89722339,0.0,17.43704666,0.062042069,0.23,0.086858896,0.845,080710A
2.03666881,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.018882369,0.06,0.043429448,3.35,080810A
2.10720997,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,28.05833332,0.048254942,0.15,0.086858896,2.374,080905B
1.77815125,1.88453,-5.397940009,1.17,21.7431239,0.431363764,6.325897569,0.010857362,0.21,0.032169962,0.6887,080916A
2.368584372,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.034743559,0.12,0.02068069,1.692,080928A
0.958563883,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,0.048934589,0.2,0.066814536,0.5295,081007A
2.268297087,1.98207,-5.366531544,1.69,21.1376737,0.113943352,40.34414957,0.020199743,0.07,0.033407268,1.9685,081008A
2.414973348,2.51,-5.431798276,1.25,20.90308999,-0.301029996,32.58849643,0.023475377,0.38,0.086858896,3.038,081028A
2.431283332,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,0.041361379,0.18,0.173717793,3.8479,081029A
2.46834733,2.03508,-5.113509275,1.54,21.66176916,0.462397998,82.96987405,0.016920564,0.06,0.029951344,2.1,081203A
1.531478917,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,0.007198251,0.13,0.011931167,2.26,081221A
0.477121255,2.11824052948599,-7.050609993,2.1,21.16936021,-0.22184875,32.58849643,0.0674679414874554,0.31,0.103319586082909,3.44,081228A
0.907209226455443,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,0.02568693,0.096969697,0.142225970771007,2.1,081230A
1.432006687,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,0.019160051,0.08,0.063170107,1.547,090102A
0.944482672,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,0.068572813,0.23,0.086858896,4.6497,090205A
1.893872679,2.07619,-5.853871964,1.91,22.44115763,-0.096910013,32.58849643,0.062042069,0.29,0.162860431,3.38,090313A
1.748188027,2.03408,-5.337242168,1.48,22.02365981,0.278753601,4.129211073,0.018882369,0.07,0.068572813,1.608,090418A
0.989894564,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,0.029443694,0.5,0.051093469,8.26,090423A
1.681241237,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0.0,0.15,0.012233647,0.544,090424A
1.806179974,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,8.24011649,0.036191207,0.2,0.144764827,3.85,090519A
1.837651558,2.22623,-6.167491087,2.0,21.1872488303853,-0.397940009,10.5274432,0.10857362,0.3,0.108573621,2.625,090529A
1.681241237,2.03975,-5.958607315,1.61,20.90942658,0.397940009,35.77708764,0.039481317,0.17,0.052115338,1.266,090530A
2.05388479,1.82831,-3.978810701,1.42,21.39200012,1.589949601,0.593538562,0.004136138,0.08,0.008931506,0.54,090618A
1.773054693,2.4288,-6.065501549,2.25,22.02689264,-0.15490196,1.794079127,0.050499358,0.19,0.124084138,2.71,090726A
0.73239376,1.94644,-6.468521083,1.34,21.91952315,0.041392685,1.216253263,0.063866836,0.24,0.078962633,2.737,090809A
1.824125834,1.88559,-5.236572006,1.24,21.77771022,0.556302501,14.65837332,0.014975672,0.05,0.024127471,2.452,090812A
0.342422681,2.06549,-6.698970004,1.8,21.01785522,0.301029996,0.400898978,0.065144172,0.2,0.043429448,1.37,090927A
0.639486489,1.98015,-5.853871964,1.77,21.19187281,1.012837225,0.601065704,0.031021034,0.24,0.016865805,0.971,091018A
1.590061231,2.08587,-5.431798276,1.53,21.70587483,0.62324929,4.875038864,0.011737689,0.07,0.031021034,1.71,091020A
1.995196292,1.49013,-5.214670165,1.2,22.23512426,0.301029996,14.87086076,0.021358745,0.08,0.065144172,1.09,091024A
1.593286067,2.11535,-5.619788758,1.46,21.45058625,0.255272505,4.829610314,0.018095603,0.27,0.024127471,2.752,091029A
1.681241237,1.96352,-5.795880017,1.31,21.89596701,0.113943352,16.70810678,0.05428681,0.25,0.133629071,3.076,091109A
0.84260924,1.80187,-5.045757491,2.05,20.87872913,1.667452953,0.150359555,0.014476483,0.07,0.025217099,0.49,091127A
1.173186268,2.03333,-5.48148606,1.74,21.91211094,1.181843588,2.897723268,0.026320878,0.11,0.028572005,1.063,091208B
1.274157849,1.58721,-6.431798276,1.34,20.90203663,-0.397940009,13.06603535,0.070426132,0.25,0.10857362,4.67,100219A
0.579783597,2.23535,-6.698970004,2.23,21.41315218,0.113943352,0.445223532,0.043429448,0.18,0.033407268,1.18,100316B
2.717570654,2.49431,-6.522878745,2.29,21.60728985,-1.0,8.820503864,0.115811862,0.41,0.0,0.06,100316D
