"log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","Redshift_crosscheck","is_optical","GRB"
1.16168428403346,-11.9625735,4.18985,1.17521,0.396,1.37246,-7,1.69,20.80619355,0.079181246,-15.4105371900826,5.07500876368108,0.91413889650474,-4.66922582028737,0.2187,0,"070809A"
1.041392685,-10.77728353,3.36583,1.36994,1.02,2.17076,-6.161150909,2.04,21.93100401,0.278753601,-12.6433663211468,2.78248543559668,1.3186028929156,2.02174565730217,2.17,0,"070810A"
2.170643023,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,-14.7452416771723,6.72831197591796,2.58367189252511,0.0594895989706197,1.60435,0,"071003A"
0.77815125,-10.9895154238019,4.22153907655839,1.8230533026688,0.888406786307459,2.33496,-6.698970004,2.33,22.13954852,-0.096910013,-13.1705,5.172418,2.253787,0.61,0.99,1,"071010A"
1.552668216,-10.4208095316766,3.50957660596362,1.03582329155597,0.893101278636516,2.04061,-5.356547324,1.53,21.30047157,0.886490725,-11.8207,3.16101,0.633623,0.68,0.947,1,"071010B"
0.62324929,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,-8.88963750992202,-0.149533844501695,0.797796943412843,0.134548573879477,2.145,0,"071020A"
2.376832349,-10.7435838189401,3.5691438522919,1.41399582009461,0.921370656651558,1.97502660214106,-5.187086643,1.79,21.07108335,0.204119983,-12.58,3.37,1.41,0.93,5,1,"071025A"
1.176091259,-10.3793919527182,3.29629009250939,1.18185143416542,0.874242522377332,1.67267,-5.522878745,1.09,20.5643192,0.903089987,-11.73,2.56,0.92,0.44,0.82,1,"071112C"
0.819543936,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,-13.7129516739039,4.2741487099305,0.768210311723703,1.16392880120094,1.331,0,"071117A"
2.560456622,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,21.69269626,0.113943352,-14.0948851379745,5.45401866246752,1.78794662811661,0.499120737722497,2.42,0,"080310A"
1.68090255756894,-12.15181088,5.36799912,1.42250979,0.73,1.81426,-4.091514981,1.04,20.8771334,1.394451681,-15.8523296446748,8.35276214534913,1.42779298870916,-1.08784044606477,0.937,0,"080319B"
1.531478917,-10.6382873387691,3.52001201988252,1.69361785659658,0.921106151411543,1.61029,-5.443697499,1.37,21.75037415,0.716003344,-12.32,3.23,2,0.98,1.95,1,"080319C"
1.783188691,-10.4824982653782,3.62641817400134,1.2788968145843,0.871973041044518,2.25433,-6.468521083,2.53,21.69090721,-0.045757491,-11.98,3.52,1.13,0.42,1.51,1,"080330A"
1.748188027,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,-11.0937229070365,5.12919229463774,1.15069084768575,0.842247480162986,1.03,0,"080411A"
0.903089987,-11.1731675618723,4.38638978469957,1.83516772013769,0.902968629765236,1.93206,-5.494850022,1.26,21.31329763,1.271841607,-13.54,5.62,2.29,0.74,1.1,1,"080413B"
0.763427994,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,-13.4455808936826,3.91953346613324,0.425947259539892,6.9541925798842,3.2,0,"080516A"
