"formula_idx","wins","formula","r","rmse","bias"
1336,1,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+log10FaSqr+log10T90Sqr",0.56,0.16,-0.37
1532,1,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.5,0.16,-0.27
1776,1,"Response ~  (log10FaSqr+log10T90+Alpha+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.4,0.19,-0.15
1777,1,"Response ~  (AlphaSqr+log10T90+Alpha+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.34,0.19,-0.21
2243,1,"Response ~  (log10FaSqr+log10T90+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.52,0.17,-0.062
2363,1,"Response ~  (log10FaSqr+log10T90+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.43,0.17,-0.17
2526,1,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.51,0.16,-0.18
3053,1,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.38,0.18,-0.023
3088,1,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr",0.44,0.19,-0.15
3249,1,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.49,0.17,-0.057
3343,1,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+AlphaSqr",0.39,0.18,-0.19
3364,1,"Response ~  (AlphaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10T90+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.49,0.17,-0.063
3805,1,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.44,0.2,-0.37
4115,1,"Response ~  (log10T90Sqr+AlphaSqr+Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr",0.47,0.19,-0.18
4217,1,"Response ~  (log10T90Sqr+AlphaSqr+log10PeakFluxSqr+Alpha+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr",0.38,0.2,-0.18
6099,1,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+AlphaSqr",0.57,0.16,-0.13
6413,1,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10T90+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10NHSqr+log10FaSqr+log10T90Sqr",0.48,0.19,-0.19
7330,1,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.59,0.17,-0.14
9484,1,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+AlphaSqr",0.6,0.18,-0.1
10455,1,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+AlphaSqr",0.51,0.2,-0.32
9,0,"Response ~  log10PeakFluxSqr:log10PeakFluxSqr+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.56,0.17,-0.14
14,0,"Response ~  log10T90Sqr:log10T90Sqr+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.47,0.16,-0.16
15,0,"Response ~  (log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.43,0.16,-0.025
16,0,"Response ~  (PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.5,0.16,-0.18
25,0,"Response ~  (log10FaSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.45,0.16,-0.2
27,0,"Response ~  (log10T90Sqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.52,0.15,-0.18
41,0,"Response ~  (log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.42,0.17,-0.0042
43,0,"Response ~  (log10T90+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.63,0.14,-0.35
45,0,"Response ~  (log10PeakFluxSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.51,0.18,-0.23
48,0,"Response ~  (log10FaSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.59,0.16,-0.11
49,0,"Response ~  (AlphaSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.55,0.17,-0.41
50,0,"Response ~  (log10T90Sqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.58,0.16,-0.029
54,0,"Response ~  (log10NHSqr+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.53,0.17,-0.24
