GRB,Redshift_crosscheck,log10T90,log10Fa,log10FaErr,log10Ta,log10TaErr,Alpha,AlphaErr,Beta,BetaErr,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,FluenceErr,PhotonIndexErr,PeakFluxErr
050820A,2.6147,1.414973348,-10.01818139,0.266741013,3.750945731,0.238477529,1.136499703,0.012525701,0.9,0.0405,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,2.420000017571089e-07,0.12,0.22999999764770124
050922C,2.198,0.653212514,-9.477555766,0.03194,2.52429,0.034305,1.22035,0.013275,1.064,0.013,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,5.400000106361548e-08,0.06,0.31999999181875266
051016B,0.9364,0.602059991,-11.59006688,0.04535,4.25742,0.058175,1.14771,0.04854,0.73,0.005,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,2.1999999861399183e-08,0.23,0.16000000125809988
051109A,2.346,1.57054294,-10.51999306,0.04815,3.91123,0.04637,1.22299,0.019155,1.06,0.054794381,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,2.719999976298928e-07,0.2,0.6900000016742329
051109B,0.08,1.155336037,-11.57511836,0.0922,3.65548,0.126645,1.251,0.12217,1.06,0.01,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,4.100000019613614e-08,0.24,0.12999999985798938
051221A,0.5465,0.146128036,-11.69464863,0.063,4.20075,0.085085,1.09586,0.05576,0.89,0.005,2.0589,-5.93930216,1.39,21.27394758,1.079181246,0.204978045,3.499999958785975e-08,0.06,0.3900000093005053
060223A,4.41,1.053078443,-10.9636,0.1982,2.78682,0.23477,1.1892,0.18005,0.81,0.045,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,4.8000000347443994e-08,0.12,0.18000000004216857
060502A,1.5026,1.45331834,-10.55284197,0.05675,3.3865,0.075085,0.897152,0.0205255,0.87,0.015,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,1.0199999757507762e-07,0.08,0.20999999820731244
060510B,4.9,2.43964843,-12.2656,0.2206,4.43617,0.31628,1.00735,0.2313695,1.38,0.03,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,1.760000006571322e-07,0.08,0.1100000003377161
060912A,0.937,0.698970004,-10.1079054,0.147419953,2.455171016,0.156564864,1.045731532,0.028937785,0.63,0.0785,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,6.199999928921041e-08,0.09,0.44000000227757635
061222A,2.088,1.853698212,-9.954677021,0.02311,3.92091,0.024435,1.35061,0.018075,0.86,0.005,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16.0,1.579999983874433e-07,0.04,0.260000001362206
070714B,0.923,1.806179974,-10.74232143,0.09935,3.22974,0.0946,1.64623,0.108425,0.93,0.005,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.408797283,8.99999995162111e-08,0.19,0.20000000227392295
070721B,3.626,2.531478917,-10.50863831,0.3648,3.94739,0.10084,2.5054,0.09144,0.52,0.0,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.32020684,1.999999983096544e-07,0.11,0.29999999864681703
070810A,2.17,1.041392685,-10.77728353,0.06175,3.36583,0.07187,1.36994,0.077915,1.02,0.01,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.99064124,6.000000074044132e-08,0.14,0.20000000167808685
080319B,0.937,1.6809025575689436,-12.15181088,0.097779455,5.36799912,0.087626454,1.42250979,0.075139905,0.73,0.0,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908,9.99999949845317e-07,0.02,0.4999999924826722
080905B,2.374,2.10720997,-10.11125904,0.03236457,3.67820615,0.038825489,1.36946226,0.033301752,0.375,0.00558525,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,28.05833332,1.999999981549118e-07,0.15,0.09999999948438888
080916A,0.6887,1.77815125,-10.75269955,0.0592,3.60698,0.073495,0.998947,0.0260505,0.83,0.01,1.88453,-5.397940009,1.17,21.7431239,0.431363764,6.325897569,9.999999948624394e-08,0.21,0.20000000227392295
081028A,3.038,2.414973348,-11.3994,0.0572,4.75426,0.03025,2.20023,0.054715,0.945,0.0005,2.51,-5.431798276,1.25,20.90308999,-0.301029996,32.58849643,1.9999999655982406e-07,0.38,0.09999999948438888
081203A,2.1,2.46834733,-10.9243983,0.05695,4.02089,0.03932,1.86904,0.064395,0.82,0.0325,2.03508,-5.113509275,1.54,21.66176916,0.462397998,82.96987405,2.9999999580303167e-07,0.06,0.20000000285418873
090418A,1.608,1.748188027,-10.04720756,0.028659405,3.52813657,0.030759021,1.52909667,0.042154514,0.98,0.003531332,2.03408,-5.337242168,1.48,22.02365981,0.278753601,4.129211073,2.0000000249377965e-07,0.07,0.30000000032967444
090516A,4.109,2.322219295,-11.27490548,0.03779605,4.33113504,0.029715315,1.76098314,0.053351589,0.502,0.479087085,2.09,-5.045757491,1.84,21.19589965,0.204119983,64.0,5.999999898558558e-07,0.11,0.19999999928197265
091109A,3.076,1.681241237,-11.14630179,0.05941034,3.37933883,0.074268877,1.06152816,0.033719571,0.89,0.03,1.96352,-5.795880017,1.31,21.89596701,0.113943352,16.70810678,1.9999999928197265e-07,0.25,0.39999999865520874
091208B,1.063,1.173186268,-10.18045606,0.036806415,3.31388094,0.052928177,1.1606541,0.030502454,0.86,0.034663611,2.03333,-5.48148606,1.74,21.91211094,1.181843588,2.897723268,2.0000000240337421e-07,0.11,0.9999999865344263
100316B,1.18,0.579783597,-11.1481304,0.10431242,3.5543767,0.207348761,1.36246063,0.13322096,1.08,0.02,2.23535,-6.698970004,2.23,21.41315218,0.113943352,0.445223532,1.9999999927826235e-08,0.18,0.10000000041214234
100418A,0.6235,0.84509804,-12.48811664,0.10745,5.54363,0.075475,1.81145,0.16786,0.84,0.01,2.26662,-6.468521083,2.16,15.61943666,0.0,0.963279858,5.0000000328635685e-08,0.25,0.19999999912352018
100425A,1.755,1.568201724,-11.50168945,0.070859065,3.60199415,0.115125536,0.86819371,0.055076895,1.46,0.035,2.17077,-6.327902142,2.42,20.53466438,0.146128036,3.773539953,8.999999987218985e-08,0.32,0.20000000065324805
100513A,4.772,1.924279286,-11.57186521,0.09817689,3.74522911,0.128616618,0.96306136,0.061569437,1.36,0.025,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,14.87086076,9.999999871481455e-08,0.14,0.10000000039445692
100621A,0.542,1.803457116,-9.804100348,0.041282476,3.64164386,0.060455075,0.94079321,0.024177265,0.27,0.150679792,2.3024,-4.677780705,1.9,22.28454803,1.10720997,1.683600844,0.0,0.03,0.3000000026126603
100704A,3.6,2.2955671,-10.35163999,0.04763446,3.62503495,0.053639373,1.01294211,0.01813996,1.29,0.01,2.11575,-5.22184875,1.73,21.52730245,0.633468456,23.25931459,2.0000000355201571e-07,0.06,0.19999999678428412
100724A,1.288,0.146128036,-10.67778071,0.14742817,2.86502502,0.168928757,1.11237691,0.065002869,0.83,0.05,1.94442,-6.795880017,1.92,21.01720452,0.278753601,0.155794716,1.9999999928197266e-08,0.21,0.20000000167808685
100728A,1.567,2.297760511,-10.17587417,0.0760751,4.03148606,0.053762484,1.5588143,0.034265796,0.96,0.005,1.90402,-4.420216403,1.18,21.52592288,0.707570176,12.6465837,0.0,0.02,0.19999999815738478
100814A,1.44,2.241795431,-11.49349497,0.04362636,5.22729477,0.035347138,1.76532941,0.084015169,1.1425,0.01745135,1.89414,-5.045757491,1.47,20.89608288,0.397940009,9.468174905,1.999999897108633e-07,0.04,0.20000000272843008
100816A,0.804,0.462397998,-11.5559552,0.08674922,3.97801299,0.112014005,1.04455013,0.047175154,1.09,0.015,1.91138,-5.698970004,0.73,21.34783526,1.037426498,0.621173086,9.999999963913119e-08,0.24,0.39999999553862603
100901A,1.408,2.64246452,-11.34103516,0.0283,4.91124,0.02425,1.50754,0.036255,1.075,0.0005,1.98285,-5.677780705,1.52,21.53188109,-0.096910013,22.56299024,3.0000000094140887e-07,0.21,0.1999999991272303
100906A,1.727,2.058426024,-10.4698003,0.048743085,3.94074768,0.039933316,1.71220056,0.059340084,0.87,0.0,2.02817,-4.920818754,1.78,21.96198081,1.004321374,1.591145486,0.0,0.03,0.3999999894671522
101219B,0.55,1.531478917,-11.99567863,0.089446275,4.42003952,0.166829365,0.66918137,0.039390628,0.94,0.105,1.85684,-5.677780705,1.56,20.49692965,-0.22184875,5.420624286,3.9999999803159266e-07,0.16,0.29999999980181963
110106B,0.618,-0.0284881041854658,-10.81530857,0.045543555,3.87203946,0.058714404,1.22519883,0.049891228,1.03,0.005,2.05121,-5.698970004,1.76,21.29748256,0.322219295,16.62661769,6.060000096023706e-08,0.066666667,0.06633027370020254
