"","log10Ta","log10NH","log10PeakFlux","log10Fa","PhotonIndex","Gamma","log10T90","Alpha","Beta","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","log10FaSqr","PhotonIndexSqr","GammaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060206A",3.93814,22.33966406,0.445604203,-10.63078414,1.2,2.20424,0.880813592280791,1.17565,1.265,-6.080398976,15.5089466596,499.060590313656,0.198563105731265,113.013571431276,1.44,4.8586739776,0.775832584346592,1.3821529225,1.600225,36.9712517073418,0.110491399420861,0.07055,0.07444,0.02867,0.013041887,0.0133029706675924,0.181818182,0.0160378107849136,"060206A",4.048,0.703119346236078
"060210A",4.15028,22.3877421,0.434568904,-10.66756154,1.53,2.08163,2.40654018043396,1.20511,0.979,-5.11577123,17.2248240784,501.210996336112,0.188850132323761,113.796869209687,2.3409,4.3331834569,5.79143564004309,1.4522901121,0.958441,26.1711152776957,0.207740121022138,0.0292,0.030365,0.02297,0.083622271,0.0140538367709601,0.054545455,0.0270950212031269,"060210A",3.91,0.691081492122968
"060223A",2.78682,22.49782636,0.130333768,-10.9636,1.74,2.01015,1.05307844348342,1.1892,0.81,-6.171984936,7.7663657124,506.152190924711,0.0169868910810778,120.20052496,3.0276,4.0407030225,1.10897420812946,1.41419664,0.6561,38.0933980502109,0.0421049044034134,0.1982,0.23477,0.18005,0.045,0.018772691379267,0.072727273,0.0350945035988966,"060223A",4.41,0.73319726510657
"060306A",3.61496,21.61973178,0.775974331,-10.70553377,1.8,2.28823,1.78675142214556,1.03794,0.76,-5.671620397,13.0679358016,467.412802239142,0.602136162370898,114.60845330061,3.24,5.2359965329,3.19248064453919,1.0773194436,0.5776,32.1672779276664,0.0249708024012773,0.03495,0.04452,0.02498,0.01,0.014581519111212,0.060606061,0.0141083431596232,"060306A",1.559,0.408070285887185
"060418A",3.11887,21.65363309,0.814247596,-9.792961075,1.7,1.94118,2.01325866528352,1.47655,0.98,-5.079354999,9.7273500769,468.879825996343,0.662999147591779,95.9020866164651,2.89,3.7681797924,4.05321045333917,2.1801999025,0.9604,25.7998472058663,0.190629725370006,0.04904,0.057245,0.044705,0.005,0.0079942161609691,0.036363636,0.0141293054922338,"060418A",1.489,0.396024896608593
"060502A",3.3865,21.45692297,0.227886705,-10.55284197,1.46,2.02719,1.45331834004704,0.897152,0.87,-5.63638802,11.46838225,460.399543340514,0.051932350315757,111.362473643793,2.1316,4.1094992961,2.11213419751708,0.804881711104,0.7569,31.7688699119995,0.150287880719686,0.05675,0.075085,0.0205255,0.015,0.0116222057308489,0.048484848,0.0327064159666924,"060502A",1.5026,0.398391440229475
"060510B",4.43617,22.00215742,-0.244125144,-12.2656,1.78,2.1317,2.43964842956347,1.00735,1.38,-5.390405591,19.6796042689,484.094931134461,0.0595970859330207,150.44494336,3.1684,4.54414489,5.95188445987152,1.0147540225,1.9044,29.0564724354841,0.033597137016063,0.2206,0.31628,0.2313695,0.03,0.0113820011696242,0.048484848,0.0507946764616626,"060510B",4.9,0.770852011642144
"060512A",3.72853869239263,21.75037415,-0.27572413,-10.6681122193058,2.54,1.81426,2.2380461031288,1.08976353716105,0.878978217215462,-5.269217724,13.9020007806689,473.078775664988,0.0760237958642569,113.808618323702,6.4516,3.2915393476,5.00885035972999,1.18758456692576,0.772602706339273,27.7646554229157,0.0636907468358741,0.803990566093644,0.595011277229805,0.332351478471758,0.221960096022892,0.0354526107425099,0.145454545,0.100638650276148,"060512A",0.44,0.15836249209525
"060526A",3.8752,20.95382587,0.222716471,-11.3053948,2.01,1.90677,2.47450763911698,1.05873,0.93,-5.899629455,15.01717504,439.062818590281,0.0496026264546938,127.811951583867,4.0401,3.6357718329,6.12318805604827,1.1209092129,0.8649,34.8056277063036,0.0335671166680867,0.06785,0.09216,0.0623145,0.0305,0.034467816033398,0.145454545,0.0283698082758142,"060526A",3.221,0.625415352154408
"060604A",4.45991,21.99003057,-0.468521083,-11.76955108,2.01,2.1711,1.97772360528885,1.21596,1.02,-6.395773947,19.8907972081,483.561444469534,0.219512005215493,138.522332624729,4.0401,4.71367521,3.91139065891672,1.4785587216,1.0404,40.905924381124,0.0777158546563713,0.04195,0.04994,0.04695,0,0.0694033093482565,0.254545455,0.100638650276148,"060604A",2.1357,0.496334505996816
