"","log10Ta","log10NH","log10Fa","PhotonIndex","log10PeakFlux","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10PeakFluxSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060729A",5.1057,20.86562801,-11.15058059,1.75,0.068185862,1.35481,2.0618293072947,1.317,1.92492,-5.583359493,26.06817249,435.374432251696,124.335447494085,3.0625,0.00464931177668304,1.8355101361,4.25114009241934,1.734489,3.7053170064,31.1739032280732,0.127702392544209,0.0116,0.012825,0.013425,0.077392286,0.0212785639737521,0.084848485,0.0292454197184288,"060729A",0.54,0.187520720836463
"060814A",4.22387,22.00679538,-10.91009489,1.53,0.861534411,1.29504,2.16226561429802,0.97,2.11591,-4.835647144,17.8410777769,484.299042897189,119.030170508804,2.3409,0.742241541337117,1.6771286016,4.6753925867756,0.9409,4.4770751281,23.3834833012754,0.0146412491865461,0.0353,0.034855,0.024565,0,0.00430869161989862,0.018181818,0.0104993872606212,"060814A",1.9229,0.465813957269479
"060904B",3.87074,21.59122827,-11.11633856,1.64,0.387389826,1.36265,2.23426412437879,1.58,2.18877,-5.790484985,14.9826281476,466.181138207247,123.572982980543,2.6896,0.15007087728831,1.8568150225,4.99193617748612,2.4964,4.7907141129,33.5297163615105,0.0287243616490079,0.08665,0.081295,0.04215,0.136141492,0.0232338611473106,0.084848485,0.0226532143754057,"060904B",0.703,0.231214647962601
"060906A",4.33479,22.41960057,-11.8827287,2.03,0.294466226,1.71887,1.63848925695464,1.06,2.07859,-5.655607726,18.7904043441,502.638489718344,141.199241357804,4.1209,0.0867103582546831,2.9545140769,2.68464704515576,1.1236,4.3205363881,31.9858987503909,0.0815374132522222,0.08845,0.072145,0.169635,0.005,0.0161974631827828,0.066666667,0.0374103846163063,"060906A",3.686,0.670802284260944
"060908A",2.81918,21.80952201,-9.627087997,1,0.481442629,1.38309,1.28555730900777,1.185,2.13395,-5.552841969,7.9477758724,475.655250304674,92.6808233019815,1,0.231787005018432,1.9129379481,1.65265759474331,1.404225,4.5537426025,30.8340539326878,0.0299356101984998,0.045185,0.05993,0.04964,0.003474954,0.0104343479500535,0.181818182,0.0217168958293479,"060908A",1.8836,0.459935016851525
"060912A",2.455171016,21.36738202,-10.1079054,1.74,0.933487288,1.045731532,0.698970004336019,0.63,1.8948,-5.869666232,6.02786471780647,456.565014388619,102.169751575349,3.0276,0.871398516857595,1.09355443701907,0.488559066961494,0.3969,3.59026704,34.4529816750811,0.0503781599007772,0.147419953,0.156564864,0.028937785,0.0785,0.0120881068052489,0.054545455,0.0134978860076092,"060912A",0.937,0.287129620719111
"060926A",3.351,22.50004427,-10.84771166,2.54,0.037426498,1.45111,0.903089986991944,1.357,2.00443,-6.659555885,11.229201,506.25199215196,117.6728482585,6.4516,0.001400742752544,2.1057202321,0.815571524605109,1.841449,4.0177396249,44.3496845854381,0.0658325115046647,0.08245,0.09927,0.11561,0.009157091,0.0300466640198818,0.139393939,0.0338066319525806,"060926A",3.2,0.6232492903979
"060927A",3.15198,22.10710478,-10.77728353,0.9,0.431363764,1.39098,1.35218251811136,0.83,1.94856,-5.946921557,9.9349779204,488.724081753899,116.149840286009,0.81,0.186074696892248,1.9348253604,1.82839756228599,0.6889,3.7968860736,35.3658760051113,0.0249820977867784,0.08115,0.108435,0.118785,0.178498106,0.0158391122565265,0.242424242,0.0165724044733706,"060927A",5.47,0.8109042806687
"061007A",3.1673865072491,21.14009932,-9.18328996411352,0.98,0.69019608,1.641010727222,1.61172330800734,0.942762721118282,1.86248,-5.045757491,10.0323372863037,446.903799259465,84.3328145649882,0.9604,0.476370628847366,2.69291620685769,2.59765202157413,0.888801548330348,3.4688317504,25.4596686579826,0.0942443169455569,0.871372728024476,0.603659733750509,0.322388223790341,0.224715746977283,0.0842660934455674,0.18,0.144764827428965,"061007A",1.26,0.354108439147401
"061021A",3.23849,20.87141063,-10.04095861,1.3,0.78604121,1.01707,1.66464197555613,0.785,1.99282,-5.528708289,10.4878174801,435.615781686077,100.820849807733,1.69,0.617860783818264,1.0344313849,2.7710329067834,0.616225,3.9713315524,30.5666153448573,0.0507507175232146,0.0264,0.03399,0.010415,0.016800037,0.0089811102944679,0.036363636,0.0116311571135192,"061021A",0.3463,0.129141845792285
"061110A",2.24983,21.89473409,-8.33235,1.67,-0.27572413,1.37828029,1.60959440922522,1.98,1.82722,-5.974694135,5.0617350289,479.379380871808,69.4280565225,2.7889,0.0760237958642569,1.89965655780248,2.59079416220908,3.9204,3.3387329284,35.6969700068034,0.0429439501542518,0.2103,0.03335,0.11946,0.0015,0.0188715726956945,0.072727273,0.0595944402240336,"061110A",0.7578,0.244969460136198
"061121A",3.78753,21.75351565,-10.03011836,1.41,1.324282455,1.35185,1.91009054559407,0.9485,1.90181,-4.863279433,14.3453835009,473.215443134795,100.603274315609,1.9881,1.75372402062083,1.8274984225,3.64844589236784,0.89965225,3.6168812761,23.6514868434408,0.246407281884026,0.01265,0.01703,0.01585,0.002358211,0.00382325157840621,0.018181818,0.00573820083195282,"061121A",1.314,0.364363354615731
