"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB080905B",2.374,128,-5.744727495,-0.301029996,1.78,22.33533151,1.86248,-10.11125904,3.67820615,1.36946226,0.375,0.038825489,0.00558525,0.033301752,28.05833332,1.21212121212121e-07,0.060606061,0.090909091,0.03236457
"GRB080916A",0.6887,60,-5.397940009,0.431363764,1.17,21.7431239,1.88453,-10.75269955,3.60698,0.998947,0.83,0.073495,0.01,0.0260505,6.325897569,6.06060606060606e-08,0.121212121,0.127272727,0.0592
"GRB081028A",3.038,260,-5.431798276,-0.301029996,1.25,20.90308999,2.51,-11.3994,4.75426,2.20023,0.945,0.03025,5e-04,0.054715,32.58849643,1.21212121212121e-07,0.060606061,0.23030303,0.0572
"GRB081203A",2.1,294,-5.113509275,0.462397998,1.54,21.66176916,2.03508,-10.9243983,4.02089,1.86904,0.82,0.03932,0.0325,0.064395,82.96987405,1.81818181818182e-07,0.121212121,0.036363636,0.05695
"GRB090418A",1.608,56,-5.337242168,0.278753601,1.48,22.02365981,2.03408,-10.04720756,3.52813657,1.52909667,0.98,0.030759021,0.003531332,0.042154514,4.129211073,1.21212121212121e-07,0.181818182,0.042424242,0.028659405
"GRB090516A",4.109,210,-5.045757491,0.204119983,1.84,21.19589965,2.09,-11.27490548,4.33113504,1.76098314,0.502,0.029715315,0.479087085,0.053351589,64,3.63636363636364e-07,0.121212121,0.066666667,0.03779605
"GRB091109A",3.076,48,-5.795880017,0.113943352,1.31,21.89596701,1.96352,-11.14630179,3.37933883,1.06152816,0.89,0.074268877,0.03,0.033719571,16.70810678,1.21212121212121e-07,0.242424242,0.151515152,0.05941034
"GRB091208B",1.063,14.9,-5.48148606,1.181843588,1.74,21.91211094,2.03333,-10.18045606,3.31388094,1.1606541,0.86,0.052928177,0.034663611,0.030502454,2.897723268,1.21212121212121e-07,0.606060606,0.066666667,0.036806415
"GRB100219A",4.6667,18.8,-6.431798276,-0.397940009,1.34,18.42501386,1.58721,-12.13548892,4.7218991,3.69298474,0.46,0.103773463,0.005,0.730853403,6.647711502,3.63636363636364e-08,0.060606061,0.151515152,0.326395625
"GRB100316B",1.18,3.8,-6.698970004,0.113943352,2.23,21.41315218,2.23535,-11.1481304,3.5543767,1.36246063,1.08,0.207348761,0.02,0.13322096,0.445223532,1.21212121212121e-08,0.060606061,0.109090909,0.10431242
"GRB100418A",0.6235,7,-6.468521083,0,2.16,15.61943666,2.26662,-12.48811664,5.54363,1.81145,0.84,0.075475,0.01,0.16786,0.963279858,3.03030303030303e-08,0.121212121,0.151515152,0.10745
"GRB100425A",1.755,37,-6.327902142,0.146128036,2.42,20.53466438,2.17077,-11.50168945,3.60199415,0.86819371,1.46,0.115125536,0.035,0.055076895,3.773539953,5.45454545454545e-08,0.121212121,0.193939394,0.070859065
"GRB100513A",4.772,84,-5.853871964,-0.22184875,1.62,22.05240534,2.25722,-11.57186521,3.74522911,0.96306136,1.36,0.128616618,0.025,0.061569437,14.87086076,6.06060606060606e-08,0.060606061,0.084848485,0.09817689
"GRB100621A",0.542,63.6,-4.677780705,1.10720997,1.9,22.28454803,2.3024,-9.804100348,3.64164386,0.94079321,0.27,0.060455075,0.150679792,0.024177265,1.683600844,0,0.181818182,0.018181818,0.041282476
"GRB100625A",0.452,0.33,-6.638272164,0.414973348,0.9,20.33244048,2.40449,-10.87942607,2.43862257,1.84657968,1.08,0.239414064,0.175,0.242981501,213.3588526,1.21212121212121e-08,0.121212121,0.060606061,0.36164147
"GRB100704A",3.6,197.5,-5.22184875,0.633468456,1.73,21.52730245,2.11575,-10.35163999,3.62503495,1.01294211,1.29,0.053639373,0.01,0.01813996,23.25931459,1.21212121212121e-07,0.121212121,0.036363636,0.04763446
"GRB100724A",1.288,1.4,-6.795880017,0.278753601,1.92,21.01720452,1.94442,-10.67778071,2.86502502,1.11237691,0.83,0.168928757,0.05,0.065002869,0.155794716,1.21212121212121e-08,0.121212121,0.127272727,0.14742817
"GRB100728A",1.567,198.5,-4.420216403,0.707570176,1.18,21.52592288,1.90402,-10.17587417,4.03148606,1.5588143,0.96,0.053762484,0.005,0.034265796,12.6465837,0,0.121212121,0.012121212,0.0760751
"GRB100814A",1.44,174.5,-5.045757491,0.397940009,1.47,20.89608288,1.89414,-11.49349497,5.22729477,1.76532941,1.1425,0.035347138,0.01745135,0.084015169,9.468174905,1.21212121212121e-07,0.121212121,0.024242424,0.04362636
