GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
070508A,0.82,1.320146286111054,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923906,0.010795,0.01189,0.013355,0.0005,1.65454545454545e-07,0.060606061,0.36969697
070521A,2.0865,1.5786392099680724,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,0.04901,0.04844,0.0562,0.147518075,1.07272727272727e-07,0.121212121,0.163636364
070529A,2.4996,2.0382226383687185,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,0.0552,0.068045,0.03501,0.015,1.48484848484848e-07,0.096969697,0.218181818
070612A,0.671,2.562530768862261,-10.66637549583674,4.273121345172685,1.9985130165225615,0.8926234343184234,,,,,,,0.8032141133561375,0.617499792550398,0.3929251590579418,0.20752207224136815,,,
070714B,0.923,1.806179973983887,-10.74232143,3.22974,1.64623,0.93,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.408797283,0.09935,0.0946,0.108425,0.005,5.45454545454545e-08,0.115151515,0.121212121
070721B,3.626,2.531478917042255,-10.50863831,3.94739,2.5054,0.52,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.32020684,0.3648,0.10084,0.09144,0.0,1.21212121212121e-07,0.066666667,0.181818182
070802A,2.45,1.2148438480476977,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.17395,0.236245,0.2088785,0.045,3.03030303030303e-08,0.163636364,0.060606061
070809A,0.2187,0.11394335230683679,-11.9625735,4.18985,1.17521,0.396,1.37246,-7.0,1.69,20.80619355,0.079181246,0.271528985,0.1917,0.206985,0.395643,0.0595,6.060606060606061e-09,0.133333333,0.121212121
070810A,2.17,1.0413926851582251,-10.77728353,3.36583,1.36994,1.02,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.99064124,0.06175,0.07187,0.077915,0.01,3.63636363636364e-08,0.084848485,0.121212121
071003A,1.60435,2.1760912590556813,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.1359,0.098505,0.183105,0.032,1.81818181818182e-07,0.042424242,0.242424242
071010A,0.99,0.7923916894982539,-10.99319008998954,4.2599692706896715,1.8092317758746408,0.8698359960358044,,,,,,,0.801835317093345,0.5999371761950936,0.29796601986164106,0.20646793390528406,,,
071010B,0.947,1.5526682161121932,-10.457268959216606,3.541982418916609,1.0673483328332642,0.8747975059086608,,,,,,,0.7985055448614329,0.6056196418185253,0.2834886219981225,0.20816201002434465,,,
071020A,2.145,0.6232492903979004,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.035099822,0.039262062,0.011153209,0.001,6.06060606060606e-08,0.03030303,0.181818182
