GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
050801A,1.56,1.28780173,-10.017863374904989,3.187026484618167,1.3205857573928683,0.9054480144360336,2.0752521078114348,-6.508638306,1.99,20.80209017,0.164352856,,0.4690193773895439,0.34777053903253186,0.1839481889525223,0.11490771372490743,0.0581234535102333,0.25,0.0712796339614364,1
050802A,1.7102,1.477121255,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,10.19803903,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,0
050803A,3.5,1.943988875,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,10.43812723,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,0
050820A,2.6147,1.414973348,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,0
050824A,0.8278,1.353723938,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,4.070927175,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,0
050826A,0.297,1.550228353,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.865069501,0.23405,0.13858,0.23538,0.03,0.075712355,0.31,0.148574428,0
050904A,6.295,2.259044094,-11.564590073408418,4.441911974327864,1.9211933611212122,0.9754684436581575,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,,0.5643287299007378,0.3875108624935484,0.25961989061098123,0.10593680346757045,0.016184888,0.07,0.119080745,1
050908A,3.34,1.239799818,-10.790487988091037,3.4796472356088173,1.1055804526614248,1.110418522821967,2.74883,-6.316052869,1.88,14.58600523,-0.15490196,,0.4234608685797623,0.30574475003707446,0.19877517781654847,0.16504314728092,0.045857181,0.17,0.086858896,1
050922C,2.198,0.653212514,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,0
051016B,0.9364,0.602059991,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,0
051028A,3.6,1.204119983,-11.021766122837168,3.8095238721864266,1.2360323722176783,0.9802461023606202,2.029219821752511,-6.175683413986066,1.6783282458665043,20.902419538548095,0.1794660336551921,,0.4294390849003298,0.3034888222191796,0.2030419125810763,0.1111123562779559,0.0451414448022833,0.2369911746422034,0.0749534429882672,1
051109A,2.346,1.57054294,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,0
051109B,0.08,1.155336037,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,0.0922,0.126645,0.12217,0.01,0.069554976,0.24,0.102651423,0
051111A,1.55,1.776555911,-9.964948000363869,3.2358029126958883,1.2149001172323972,0.9210808428786477,2.23019,-5.389339837,1.32,21.79196559,0.424881637,,0.4704352633751574,0.34052965462287976,0.1836516871302576,0.09918743266446073,0.014263593,0.06,0.034286406,1
051221A,0.5465,0.146128036,-11.69464863,4.20075,1.09586,0.89,2.0589,-5.93930216,1.39,21.27394758,1.079181246,0.204978045,0.063,0.085085,0.05576,0.005,0.013217658,0.06,0.014114571,0
