GRB_Name,Redshift_crosscheck,log10Fluence,log10PeakFlux,PhotonIndex,log10NH,Gamma,log10Fa_X,log10Ta_X,Alpha_X,Beta_X,log10TaErr,BetaErr_X,AlphaErr,T90Err,PhotonIndexErr,log10FaErr_X,logT90err,log10PeakFluxErr,logFluenceErr,log10T90
GRB050820A,2.6147,-5.463441557,0.389166084,1.25,21.61964524,1.96878,-10.01818139,3.750945731,1.136499703,0.9,0.238477529,0.0405,0.012525701,22.67611617,0.12,0.266741013,0.378773543,0.040770502,0.030552112,1.414973348
GRB050922C,2.198,-5.790484985,0.860936621,1.37,21.44930866,2.2119,-9.477555766,2.52429,1.22035,1.064,0.034305,0.013,0.013275,0.450457546,0.06,0.03194,0.043473606,0.019142456,0.014476483,0.653212514
GRB051016B,0.9364,-6.769551079,0.113943352,2.4,21.71466751,1.89482,-11.59006688,4.25742,1.14771,0.73,0.058175,0.005,0.04854,0.469570015,0.23,0.04535,0.050982917,0.053451629,0.056202815,0.602059991
GRB051109A,2.346,-5.657577319,0.595496222,1.51,21.97057233,2.06584,-10.51999306,3.91123,1.22299,1.06,0.04637,0.054794381,0.019155,7.089588968,0.2,0.04815,0.082767994,0.076056648,0.05369459,1.57054294
GRB051109B,0.08,-6.591760035,-0.259637311,1.97,21.36742302,2.12549,-11.57511836,3.65548,1.251,1.06,0.126645,0.01,0.12217,3.778168861,0.24,0.0922,0.114743908,0.102651423,0.069554976,1.155336037
GRB051221A,0.5465,-5.93930216,1.079181246,1.39,21.27394758,2.0589,-11.69464863,4.20075,1.09586,0.89,0.085085,0.005,0.05576,0.204978045,0.06,0.063,0.06358631,0.014114571,0.013217658,0.146128036
GRB060223A,4.41,-6.171984936,0.130333768,1.74,22.49782636,2.01015,-10.9636,2.78682,1.1892,0.81,0.23477,0.045,0.18005,1.095536415,0.12,0.1982,0.042104904,0.057905931,0.030974941,1.053078443
GRB060502A,1.5026,-5.63638802,0.227886705,1.46,21.45692297,2.02719,-10.55284197,3.3865,0.897152,0.87,0.075085,0.015,0.0205255,9.827838,0.08,0.05675,0.150287881,0.053965586,0.019176639,1.45331834
GRB060510B,4.9,-5.390405591,-0.244125144,1.78,22.00215742,2.1317,-12.2656,4.43617,1.00735,1.38,0.31628,0.03,0.2313695,21.28954544,0.08,0.2206,0.033597137,0.083811216,0.018780302,2.43964843
GRB060912A,0.937,-5.869666232,0.933487288,1.74,21.36738202,1.8948,-10.1079054,2.455171016,1.045731532,0.63,0.156564864,0.0785,0.028937785,0.58,0.09,0.147419953,0.05037816,0.022271512,0.019945376,0.698970004
GRB061222A,2.088,-5.097453221,0.930949031,1.35,22.56660835,1.92748,-9.954677021,3.92091,1.35061,0.86,0.024435,0.005,0.018075,16.0,0.04,0.02311,0.097320892,0.013237581,0.008588051,1.853698212
GRB070714B,0.923,-6.142667504,0.431363764,1.36,21.64321572,2.07429,-10.74232143,3.22974,1.64623,0.93,0.0946,0.005,0.108425,8.408797283,0.19,0.09935,0.057060848,0.032169962,0.05428681,1.806179974
GRB070721B,3.626,-5.443697499,0.176091259,1.34,21.89473409,1.52512,-10.50863831,3.94739,2.5054,0.52,0.10084,0.0,0.09144,21.32020684,0.11,0.3648,0.027233083,0.086858896,0.024127471,2.531478917
GRB070810A,2.17,-6.161150909,0.278753601,2.04,21.93100401,2.17076,-10.77728353,3.36583,1.36994,1.02,0.07187,0.01,0.077915,4.99064124,0.14,0.06175,0.197037087,0.045715209,0.037764738,1.041392685
GRB080319B,0.937,-4.091514981,1.394451681,1.04,20.8771334,1.81426,-12.15181088,5.36799912,1.42250979,0.73,0.087626454,0.0,0.075139905,0.179108908,0.02,0.097779455,0.00155572,0.008755937,0.00536166,1.6809025575689436
GRB080905B,2.374,-5.744727495,-0.301029996,1.78,22.33533151,1.86248,-10.11125904,3.67820615,1.36946226,0.375,0.038825489,0.00558525,0.033301752,28.05833332,0.15,0.03236457,0.095199839,0.086858896,0.048254942,2.10720997
GRB080916A,0.6887,-5.397940009,0.431363764,1.17,21.7431239,1.88453,-10.75269955,3.60698,0.998947,0.83,0.073495,0.01,0.0260505,6.325897569,0.21,0.0592,0.045788373,0.032169962,0.010857362,1.77815125
GRB081028A,3.038,-5.431798276,-0.301029996,1.25,20.90308999,2.51,-11.3994,4.75426,2.20023,0.945,0.03025,0.0005,0.054715,32.58849643,0.38,0.0572,0.054434631,0.086858896,0.023475377,2.414973348
GRB081203A,2.1,-5.113509275,0.462397998,1.54,21.66176916,2.03508,-10.9243983,4.02089,1.86904,0.82,0.03932,0.0325,0.064395,82.96987405,0.06,0.05695,0.122562444,0.029951344,0.016920564,2.46834733
GRB090418A,1.608,-5.337242168,0.278753601,1.48,22.02365981,2.03408,-10.04720756,3.52813657,1.52909667,0.98,0.030759021,0.003531332,0.042154514,4.129211073,0.07,0.028659405,0.0320231,0.068572813,0.018882369,1.748188027
GRB090516A,4.109,-5.045757491,0.204119983,1.84,21.19589965,2.09,-11.27490548,4.33113504,1.76098314,0.502,0.029715315,0.479087085,0.053351589,64.0,0.11,0.03779605,0.132356414,0.05428681,0.028952965,2.322219295
GRB091109A,3.076,-5.795880017,0.113943352,1.31,21.89596701,1.96352,-11.14630179,3.37933883,1.06152816,0.89,0.074268877,0.03,0.033719571,16.70810678,0.25,0.05941034,0.151171637,0.133629071,0.05428681,1.681241237
GRB091208B,1.063,-5.48148606,1.181843588,1.74,21.91211094,2.03333,-10.18045606,3.31388094,1.1606541,0.86,0.052928177,0.034663611,0.030502454,2.897723268,0.11,0.036806415,0.084460753,0.028572005,0.026320878,1.173186268
GRB100316B,1.18,-6.698970004,0.113943352,2.23,21.41315218,2.23535,-11.1481304,3.5543767,1.36246063,1.08,0.207348761,0.02,0.13322096,0.445223532,0.18,0.10431242,0.050883717,0.033407268,0.043429448,0.579783597
GRB100418A,0.6235,-6.468521083,0.0,2.16,15.61943666,2.26662,-12.48811664,5.54363,1.81145,0.84,0.075475,0.01,0.16786,0.963279858,0.25,0.10745,0.059763875,0.086858896,0.063866836,0.84509804
GRB100425A,1.755,-6.327902142,0.146128036,2.42,20.53466438,2.17077,-11.50168945,3.60199415,0.86819371,1.46,0.115125536,0.035,0.055076895,3.773539953,0.32,0.070859065,0.044292637,0.062042069,0.083162773,1.568201724
GRB100513A,4.772,-5.853871964,-0.22184875,1.62,22.05240534,2.25722,-11.57186521,3.74522911,0.96306136,1.36,0.128616618,0.025,0.061569437,14.87086076,0.14,0.09817689,0.076884914,0.072382414,0.031021034,1.924279286
GRB100621A,0.542,-4.677780705,1.10720997,1.9,22.28454803,2.3024,-9.804100348,3.64164386,0.94079321,0.27,0.060455075,0.150679792,0.024177265,1.683600844,0.03,0.041282476,0.011496518,0.010178777,0.0,1.803457116
GRB100704A,3.6,-5.22184875,0.633468456,1.73,21.52730245,2.11575,-10.35163999,3.62503495,1.01294211,1.29,0.053639373,0.01,0.01813996,23.25931459,0.06,0.04763446,0.051146289,0.020199743,0.014476483,2.2955671
GRB100724A,1.288,-6.795880017,0.278753601,1.92,21.01720452,1.94442,-10.67778071,2.86502502,1.11237691,0.83,0.168928757,0.05,0.065002869,0.155794716,0.21,0.14742817,0.048329132,0.045715209,0.05428681,0.146128036
