GRB,z,class,log10Faopt,log10FaErr_opt,log10Taopt,logTaErr_opt,Alpha_opt,AlphaErr_opt,Beta_opt,betaErr_opt,PhotonIndex,PhotonIndexErr,Gamma,log10Fluence,log10FluenceErr,log10NH,log10PeakFlux,log10PeakFluxErr,log10T90
060418A,1.49,XRR,-10.4315,0.021082,2.578446,0.02144,1.179912,0.0063,0.69,0.11,1.7,0.06,1.94118,-5.079354999,0.013190457,21.65363309,0.814247596,0.023313354,2.158362492
060512A,0.44,XRF,-12.44,0.03,3.64,0.05,0.74,0.02,0.68,0.05,2.48,0.3,2.70163,-6.634512015,0.074878359,16.36612399,-0.055517328,0.098703291,0.92890769
060526A,3.21,XRR,-12.2,0.01,4.19,0.01,1.12,0.01,0.65,0.06,2.01,0.24,1.90677,-5.899629455,0.056871896,16.11154478,0.222716471,0.046810184,2.47444938
060605A,3.78,XRR,-11.3667,0.041244,3.218963,0.054576,1.021558,0.072783,0.94,0.5,1.55,0.2,2.02128,-6.156767222,0.056078197,21.77333803,-0.337242168,0.113294213,2.059904056
060607A,3.07,L,-11.78,0.03,3.53,0.04,1.25,0.05,0.72,0.27,1.47,0.08,1.61002,-5.59345982,0.019074895,21.79614607,0.146128036,0.040327345,2.009450896
060708A,1.92,L,-11.6007,0.0317,3.15661,0.0831,0.820982,0.033617,0.88,0.05,1.68,0.12,2.20484,-6.306273051,0.032528129,20.79066861,0.28780173,0.031340839,1.008600172
060714A,2.71,XRR,-12.8093,0.046522,4.218794,0.074159,1.123968,0.054273,0.44,0.04,1.93,0.11,2.04425,-5.548213564,0.025627978,22.0125926,0.10720997,0.044108033,2.060660074
060729A,0.54,XRR-SN-E,-12.15,0.03,5.07,0.03,1.26,0.06,0.67,0.07,1.75,0.14,1.92492,-5.583359493,0.035109631,20.86562801,0.068185862,0.048254942,2.062017599
060904B,0.7,XRR-SN-C,-12.1854,0.018294,3.923904,0.024033,1.19811,0.027284,1.11,0.1,1.64,0.14,2.18877,-5.790484985,0.038335871,21.59122827,0.387389826,0.037377804,2.234264124
060927A,5.46,XRR,-12.19,0.26,3.24,0.23,1.26,0.06,0.86,0.03,0.9,0.242424242,1.94856,-5.946921557,0.026134535,22.10710478,0.431363764,0.027344467,1.352953912
