"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"080603A",1.77815125,2.0146549872069,-5.70558194498092,1.8144820875664,20.9181675200872,0.365016103959771,0.601065704,0.0419982454796969,0.181989441665926,0.0645822859728094,0.00435065864565147,1.69,0.429752280002408
"080603B",1.77815125,1.83449,-5.619788758,1.21,21.31611509,0.544068044,0.597059548,0.018095603,0.3,0.024816828,0.0043216611215518,2.6893,0.566943971856554
"080607A",1.899984563,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0,0.04,0.02068069,0.0179615292332226,3.036,0.605951157564873
"080710A",2.077948999,2.00149,-5.853871964,1.47,20.89722339,0,17.43704666,0.062042069,0.23,0.086858896,0.063286086716648,0.845,0.265996370495079
"080810A",2.03666881,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.018882369,0.06,0.043429448,0.0173110727824034,3.35,0.638489256954637
"080905B",2.10720997,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,28.05833332,0.048254942,0.15,0.086858896,0.0951998384562338,2.374,0.528145078253106
"080916A",1.77815125,1.88453,-5.397940009,1.17,21.7431239,0.431363764,6.325897569,0.010857362,0.21,0.032169962,0.0457883734954798,0.6887,0.227552503379865
"080928A",2.368584372,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.034743559,0.12,0.02068069,0.0386609346233468,1.692,0.430075055551939
"081007A",0.958563883,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,0.048934589,0.2,0.066814536,0.140327919478768,0.5295,0.184549481320698
"081008A",2.268297087,1.98207,-5.366531544,1.69,21.1376737,0.113943352,40.34414957,0.020199743,0.07,0.033407268,0.0944643171466364,1.9685,0.472537053262077
"081028A",2.414973348,2.51,-5.431798276,1.25,20.90308999,-0.301029996,32.58849643,0.023475377,0.38,0.086858896,0.0544346314312377,3.038,0.60616631460762
"081029A",2.431283332,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,0.041361379,0.18,0.173717793,0.0734942688403521,3.8479,0.685553652846326
"081203A",2.46834733,2.03508,-5.113509275,1.54,21.66176916,0.462397998,82.96987405,0.016920564,0.06,0.029951344,0.122562443871835,2.1,0.491361693834273
"081221A",1.531478917,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,0.007198251,0.13,0.011931167,0.0102431891789539,2.26,0.513217600067939
"081228A",0.477121255,2.11824052948599,-7.050609993,2.1,21.16936021,-0.22184875,10.53830531,0.0674679414874554,0.31,0.103319586082909,1.52557594726348,3.44,0.64738297011462
"081230A",0.907209226455443,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,0.02568693,0.096969697,0.142225970771007,0.740704337003766,2.1,0.491361693834273
"090102A",1.432006687,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,0.019160051,0.08,0.063170107,0.0359770577590371,1.547,0.406028944963615
"090205A",0.944482672,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,0.068572813,0.23,0.086858896,0.0885407574117407,4.6497,0.752025387323213
"090313A",1.893872679,2.07619,-5.853871964,1.91,22.44115763,-0.096910013,75.36821526,0.062042069,0.29,0.162860431,0.417926455348188,3.38,0.6414741105041
"090418A",1.748188027,2.03408,-5.337242168,1.48,22.02365981,0.278753601,4.129211073,0.018882369,0.07,0.068572813,0.0320230997079162,1.608,0.416307587059883
