"","PhotonIndex","log10Ta","log10PeakFlux","log10Fa","log10NH","Alpha","log10T90","Gamma","Beta","log10Fluence","PhotonIndexSqr","log10TaSqr","log10PeakFluxSqr","log10FaSqr","log10NHSqr","AlphaSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050416A",3.08,2.99481,0.688419822,-10.5559552,21.75162856,0.842217,0.397940009,2.06183,0.9,-6.435333936,9.4864,8.9688869361,0.473921851322512,111.428190184407,473.133345012208,0.709329475089,0.15835625076292,4.2511429489,0.81,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0.6528,0.218220304175545
"050502A",1.5837013438142,3.68663467085878,0.330571846807332,-10.7579957039005,21.0181637594417,1.42353437505767,1.301029996,1.96705146522392,0.906316858145831,-5.95905698874291,2.5081099463989,13.591275196378,0.10927774590161,115.734471565142,441.763207818708,2.02645011697083,1.69267905049176,3.86929146683957,0.82141024735933,35.5103601950857,0.00604043448603348,0.786672021525087,0.603496247872173,0.274276813365812,0.195646736040562,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",3.79,0.680335513414563
"050502B",1.49398169361224,3.64518618239163,0.300152911468348,-10.7144772478087,21.0347201497492,1.39951691863505,1.243038049,1.97812318786123,0.917330455233862,-5.90726604152399,2.2319813008485,13.2873823042989,0.090091770262926,114.80002269381,442.459451778265,1.95864760554575,1.54514359126173,3.91297134635427,0.841495164099565,34.8957920853425,0.378773543191014,0.801816970919421,0.609975196608328,0.282840452671151,0.199447717711071,0.0295798799821603,0.14,0.0671099909495084,"050502B",3.793,0.680607428991788
"050505A",1.41,4.270583544,0.267171728,-11.04817696,22.23063027,1.462094791,1.770115295,2.01835,0.973,-5.603800653,1.9881,18.2378838062836,0.071380732242506,122.062214139475,494.20092220144,2.13772117786933,3.13330815759294,4.0737367225,0.946729,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",4.27,0.721810615212547
"050525A",1,3.52874654648256,1.620136055,-10.3520667772346,21.2788016,1.23378692723459,0.944482672,2.08914,0.879079934121543,-4.815308569,1,12.4520521893126,2.62484083671096,107.165286560324,452.787397532163,1.52223018181497,0.89204751770826,4.3645059396,0.772781530575136,23.1871966146848,0.0299356101990356,0.799080324988005,0.610548928931378,0.271362086124841,0.198660661469724,0.006273143,0.1,0.009789852,"050525A",0.61,0.20682587603185
"050603A",1.16,3.96274416700055,1.33243846,-10.4462740851379,21.63005546,1.62637154929931,1.322219295,1.90951127022931,0.916524608575431,-5.196542884,1.3456,15.7033413330969,1.77539224968717,109.124642261824,467.859299202676,2.64508441637024,1.7482638640703,3.64623329113275,0.840017358124347,27.004057945251,0.378773543191014,0.779111928287256,0.610924542371125,0.289323451596256,0.203233860311447,-0.0006217656979968,0.06,0.0038290748542292,"050603A",2.82,0.582063362911709
"050730A",1.53,4.05018,-0.259637311,-10.09854168,21.73850309,2.38763,2.194514342,1.6177,0.5615,-5.623423043,2.3409,16.4039580324,0.0674115332633107,101.980544062697,472.562516593939,5.7007770169,4.81589319724369,2.61695329,0.31528225,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",3.967,0.696094159995223
"050801A",1.99,3.32674654311991,0.164352856,-10.0521620931677,20.80209017,1.30998946630735,1.28780173,2.07525210781143,0.897901554528495,-6.508638306,3.9601,11.0672425621603,0.0270118612753567,101.045962747318,432.726955440811,1.71607240183622,1.65843329579099,4.30667131097578,0.806227201624688,42.3623725983306,0.0782985476819812,0.815206175987139,0.609819752025671,0.268966570002188,0.204385628929432,0.0581234535102333,0.25,0.0712796339614364,"050801A",1.56,0.40823996531185
"050802A",1.54,3.63973,0.439332694,-10.28650946,21.25883595,1.44729,1.477121255,1.8557,0.8585,-5.698970004,2.3716,13.2476344729,0.193013216017298,105.812276870669,451.938105949012,2.0946483441,2.18188720197277,3.44362249,0.73702225,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",1.7102,0.433001340945038
"050803A",1.38,4.21721,-0.017728767,-10.86012091,21.34755638,1.52234,1.943988875,2.11696,1.218,-5.66756154,1.9044,17.7848601841,0.000314309179340289,117.942226179819,455.718163397279,2.3175190756,3.77909274612377,4.4815196416,1.483524,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",3.5,0.653212513775344
