"","log10NH","log10PeakFlux","PhotonIndex","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050502B",21.0347201497492,0.300152911468348,1.49398169361224,1.243038049,1.97812318786123,-5.90726604152399,442.459451778265,0.090091770262926,2.2319813008485,1.54514359126173,3.91297134635427,34.8957920853425,0.140327919478768,0.0295798799821603,0.14,0.0671099909495084,"050502B",1,5.2586800374373,0.075038227867087,0.37349542340306,0.31075951225,0.494530796965307,-1.476816510381,3.793,0.680607428991788
"050505A",22.23063027,0.267171728,1.41,1.770115295,2.01835,-5.603800653,494.20092220144,0.071380732242506,1.9881,3.13330815759294,4.0737367225,31.4025817585632,0.0504266082569071,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",21.2788016,1.620136055,1,0.944482672,2.08914,-4.815308569,452.787397532163,2.62484083671096,1,0.89204751770826,4.3645059396,23.1871966146848,0.0102431891789539,0.006273143,0.1,0.009789852,"050525A",1,5.3197004,0.40503401375,0.25,0.236120668,0.522285,-1.20382714225,0.61,0.20682587603185
"050603A",21.63005546,1.33243846,1.16,1.322219295,1.90951127022931,-5.196542884,467.859299202676,1.77539224968717,1.3456,1.7482638640703,3.64623329113275,27.004057945251,0.0601790285006581,-0.0006217656979968,0.06,0.0038290748542292,"050603A",1,5.407513865,0.333109615,0.29,0.33055482375,0.477377817557327,-1.299135721,2.82,0.582063362911709
"050730A",21.73850309,-0.259637311,1.53,2.194514342,1.6177,-5.623423043,472.562516593939,0.0674115332633107,2.3409,4.81589319724369,2.61695329,31.6228867205434,0.0500432094216776,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,3.967,0.696094159995223
"050801A",20.80209017,0.164352856,1.99,1.28780173,2.07525210781143,-6.508638306,432.726955440811,0.0270118612753567,3.9601,1.65843329579099,4.30667131097578,42.3623725983306,0.179553274179706,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,5.2005225425,0.041088214,0.4975,0.3219504325,0.518813026952857,-1.6271595765,1.56,0.40823996531185
"050802A",21.25883595,0.439332694,1.54,1.477121255,1.8557,-5.698970004,451.938105949012,0.193013216017298,2.3716,2.18188720197277,3.44362249,32.4782591064918,0.14763173580347,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",21.34755638,-0.017728767,1.38,1.943988875,2.11696,-5.66756154,455.718163397279,0.000314309179340289,1.9044,3.77909274612377,4.4815196416,32.1212538096872,0.0515724807527089,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,3.5,0.653212513775344
"050820A",21.61964524,0.389166084,1.25,1.414973348,1.96878,-5.463441557,467.409060303455,0.151450240935895,1.5625,2.00214957555033,3.8760946884,29.8491936467546,0.378773543191014,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,2.6147,0.558072259099146
"050824A",20.9708274,-0.301029996,2.76,1.353723938,1.94709,-6.575118363,439.775601840591,0.09061905849176,7.6176,1.83256850031423,3.7911594681,43.2321814874598,0.0782985476819812,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0.8278,0.261928672990642
