"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050820A",0.389166084,21.61964524,3.750945731,1.25,-10.01818139,1.136499703,1.41497334797082,0.9,1.96878,-5.463441557,0.151450240935895,467.409060303455,14.0695938769071,1.5625,100.363958362942,1.29163157491909,2.00214957546775,0.81,3.8760946884,29.8491936467546,0.378773543216465,0.266741013,0.238477529,0.012525701,0.0405,0.0185164313807078,0.072727273,0.0247093953343968,"050820A",2.6147,0.558072259099146
"050824A",-0.301029996,20.9708274,5.08558,2.76,-12.23882419,0.954481,1.3541084391474,0.86,1.94709,-6.575118363,0.09061905849176,439.775601840591,25.8631239364,7.6176,149.788817553729,0.911033979361,1.83360966497021,0.7396,3.7911594681,43.2321814874598,0.0782292570058625,0.06855,0.12722,0.0899785,0.01,0.0514543473223617,0.23030303,0.0789626332133755,"050824A",0.8278,0.261928672990642
"050904A",-0.207608311,22.39388568,4.6841,1.25,-11.4544,1.80923177587464,2.24104815067164,0.848,1.90813,-5.316052869,0.0431012107962727,501.486115848909,21.94079281,1.5625,131.20327936,3.27331961883451,5.0222968136288,0.719104,3.6409600969,28.2604181060031,0.0268161033458331,0.29485,0.098475,0.624745,0,0.00980902273641476,0.042424242,0.072170148569444,"050904A",6.29,0.862727528317975
"050908A",0.69019608,21.43355223,3.58248097016994,2.36,-10.7727353538008,1.16262540009275,1.53907609879278,0.925884218213745,2.0457,-5.795880017,0.476370628847366,459.397161196138,12.8341699016298,5.5696,116.05182700303,1.35169782094084,2.36875523787519,0.857261585537277,4.18488849,33.5922251714599,0.0942443169455569,0.806391092385963,0.60762723684544,0.290083089288111,0.23801255258846,0.0633033767677802,0.157575758,0.0579059309278577,"050908A",3.34,0.637489729512511
"050922C",0.860936621,21.44930866,2.52429,1.37,-9.477555766,1.22035,0.653212513775344,1.064,2.2119,-5.790484985,0.741211865378898,460.072841991951,6.3720400041,1.8769,89.8240632976399,1.4892541225,0.426686588152704,1.132096,4.89250161,33.5297163615105,0.0434736059021067,0.03194,0.034305,0.013275,0.013,0.0087736258877956,0.036363636,0.0116014887850822,"050922C",2.198,0.504878459410216
"051016B",0.113943352,21.71466751,4.25742,2.4,-11.59006688,1.14771,0.602059991327962,0.73,1.89482,-6.769551079,0.0129830874649959,471.52678506985,18.1256250564,5.76,134.329650282873,1.3172382441,0.362476233157826,0.5329,3.5903428324,45.8268218111901,0.0509829165954318,0.04535,0.058175,0.04854,0.005,0.0340623123358059,0.139393939,0.0323949264220647,"051016B",0.9364,0.286995073968852
"051028A",0.69019608,21.43355223,3.83636340078893,1.47,-10.9366142946109,1.25415212849171,1.3541084391474,0.897212584068203,2.02179,-5.698970004,0.476370628847366,459.397161196138,14.7176841429128,2.1609,119.609532229088,1.5728975614003,1.83360966497021,0.804990421010343,4.0876348041,32.4782591064918,0.269476254010303,0.806147216721451,0.594969002763036,0.286090684084296,0.209219865886345,0.0501350050952,0.151515152,0.065802194705171,"051028A",3.6,0.662757831681574
"051109A",0.595496222,21.97057233,3.91123,1.51,-10.51999306,1.22299,1.5705429398819,1.06,2.06584,-5.657577319,0.354615750416273,482.706048507762,15.2977201129,2.2801,110.670253982448,1.4957045401,2.46660512601287,1.1236,4.2676949056,32.0081811204632,0.0827679937571121,0.04815,0.04637,0.019155,0.054794381,0.0325421760411363,0.121212121,0.046094938049931,"051109A",2.346,0.524525936626376
"051111A",0.861534411,21.12149747,3.38456805097487,1.78,-10.0787395838333,1.23488775426375,1.41329976408125,0.87899676512317,1.61002,-5.443697499,0.742241541337117,446.117655375216,11.4553008916799,3.1684,101.580991598728,1.52494776563056,1.99741622315212,0.772635313096998,2.5921644004,29.6338424606189,0.0343795484178418,0.79174850181354,0.624782901942374,0.283125103699461,0.20871458347783,0.0924030812423339,0.278787879,0.144764827428965,"051111A",1.55,0.406540180433955
"060115A",-0.060480747,21.43355223,3.69688,1,-11.29499204,0.889919,2.14488541828714,1,2.10553,-5.76700389,0.00365792075767801,459.397161196138,13.6669217344,1,127.576845183663,0.791955826561,4.60053345758081,1,4.4332565809,33.2583338672751,0.0469357822433229,0.0812,0.123015,0.053884,0.085,0.0230884892235729,0.303030303,0.0363046589885454,"060115A",3.53,0.656098202012832
"060124A",-0.050609993,21.9172644,4.47599,1.84,-10.6893,1.3641,2.8750612633917,0.99,2.00895,-6.336299075,0.00256137139146005,480.366478779507,20.0344864801,3.3856,114.26113449,1.86076881,8.26597726825548,0.9801,4.0358801025,40.1486859678459,0.000756704468657758,0.04445,0.036665,0.01627,0.076380116,0.0302604450950157,0.115151515,0.0532332356918798,"060124A",2.296,0.517987203025078
