"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"080928A",0.322219295,21.51035195,4.08450503,1.77,-11.1260984,2.368584372,1.76031774,0.99,2.13864,-5.602059991,0.103825274070297,462.695241012869,16.6831813400953,3.1329,123.790065606483,5.61019192728263,3.09871854575871,0.9801,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,6035.57437759419,0.12,0.0042769093064043,"080928A",1.692,0.430075055551939
"081007A",0.414973348,21.69605744,3.58176278,2.51,-10.58502665,0.958563883,1.00469263,0.92,2.102,-6.148741651,0.172202879550329,470.718908439779,12.8290246121933,6.3001,112.04278918121,0.918844717792038,1.00940728077632,0.8464,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,29932.4253002206,0.2,0.0111604554976063,"081007A",0.5295,0.184549481320698
"081008A",0.113943352,21.1376737,3.85550833,1.69,-10.79317412,2.268297087,1.47398467,0.84,1.98207,-5.366531544,0.0129830874649959,446.801249447672,14.8649444826994,2.8561,116.492607584638,5.14517167489269,2.17263080739501,0.7056,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,2040.14811913293,0.07,0.0111604555062413,"081008A",1.9685,0.472537053262077
"081029A",-0.301029996,21.49704581,4.48156171,1.43,-11.86327943,2.431283332,2.51960373,0.87,1.95818,-5.677780705,0.09061905849176,462.122978557239,20.0843953605381,2.0449,140.737398834261,5.91113864046102,6.34840295622991,0.7569,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,8553.8184060017,0.18,0.150889357933368,"081029A",3.8479,0.685553652846326
"081221A",1.260071388,21.57331844,2.93195749,1.21,-9.354577731,1.531478917,1.23586126,0.991,2.4947,-4.742321425,1.58777990285625,465.408068513644,8.5963747231671,1.4641,87.5081245253211,2.34542767321549,1.52735305396879,0.982081,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,172.716060094637,0.13,0.000284705493988357,"081221A",2.26,0.513217600067939
"081230A",-0.15490196,20.67248024,3.66959365,1.97,-11.32975415,0.907209226455443,0.99376498,1.02,2.08621,-6.086186148,0.0239946172118416,427.35143927319,13.4659175561203,3.8809,128.363329099442,0.823028580565884,0.9875688354744,1.0404,4.3522721641,37.0416618281071,0.740704337003765,0.0701444,0.08735027,0.040381418,0.02,13604.5023974288,0.096969697,0.0882399347017278,"081230A",2.1,0.491361693834273
"090102A",0.740362689,21.72376179,3.15380077,1.36,-9.457174573,1.432006687,1.42487631,0.667,1.76997,-7.167491087,0.548136911263311,471.921826308664,9.94645929685259,1.8496,89.4381509041977,2.05064315161272,2.03027249879922,0.444889,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,122369.182597888,0.08,0.00498807798591989,"090102A",1.547,0.406028944963615
"090205A",-0.301029996,21.81792086,3.70655,2.15,-11.3419886,0.944482672,1.29089,1.01,2.03416,-6.721246399,0.09061905849176,476.021670653223,13.7385129025,4.6225,128.64070540253,0.89204751770826,1.6663969921,1.0201,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,156741.022585521,0.23,0.0754446785323893,"090205A",4.6497,0.752025387323213
"090423A",0.230448921,22.7516324,3.91521772,0.8,-11.2798407,0.989894564,1.43267533,0.77,1.8158,-6.229147988,0.0531067051900642,517.63677686473,15.328929795002,0.64,127.234806217376,0.97989124783675,2.05255860119061,0.5929,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,21673.2776618835,0.5,0.0130527127454836,"090423A",8.26,0.966610986681934
"090424A",1.851258349,21.63012977,2.99599056,1.19,-9.050609993,1.681241237,1.1284106,0.924,1.96315,-4.677780705,3.42715747474221,467.86251386704,8.97595943560911,1.4161,81.9135412453915,2.82657209698929,1.27331048219236,0.853776,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,7.48310617213456e-05,"090424A",0.544,0.188647295999717
"090519A",-0.22184875,22.13069392,3.44619,1.02,-11.76000021,1.806179974,1.42452,0.63,1.46604,-5.920818754,0.0492168678765625,489.767613380725,11.8762255161,1.0404,138.2976049392,3.26228609847864,2.0292572304,0.3969,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,13098.0345793683,0.2,0.104784275992195,"090519A",3.85,0.685741738602264
"090529A",-0.397940009,21.0064782044289,4.472757799,2,-12.1873998,1.837651558,0.8815438,0.64,2.22623,-6.167491087,0.15835625076292,441.272126553145,20.0055623285153,4,148.53271388504,3.37696324861983,0.77711947131844,0.4096,4.9561000129,38.0379463082244,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,69342.5353152435,0.3,0.117882311290408,"090529A",2.625,0.559308010907013
"090530A",0.397940009,20.90942658,3.6839464,1.61,-11.16052195,1.681241237,0.88610581,1.09,2.03975,-5.958607315,0.15835625076292,437.204119904411,13.571461078073,2.5921,124.557250196432,2.82657209698929,0.785183506515756,1.1881,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,15587.7437432909,0.17,0.00905336147953239,"090530A",1.266,0.355259905527378
"090618A",1.589949601,21.39200012,3.67275453,1.42,-9.640164518,2.05388479,1.30942861,0.8945,1.82831,-3.978810701,2.52793973372006,457.61766913408,13.4891258376355,2.0164,92.9327719341062,4.21844273059334,1.71460328468653,0.80013025,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,17.1076372388536,0.08,9.97147499690192e-05,"090618A",0.54,0.187520720836463
"090809A",0.041392685,21.91952315,4.56066,1.34,-11.8559,0.73239376,1.6367,0.96,1.94644,-6.468521083,0.00171335437150922,480.465495123386,20.7996196356,1.7956,140.56236481,0.536400619686938,2.67878689,0.9216,3.7886286736,41.8417650012155,0.0978170519448906,0.338,0.237865,0.319405,0.01,81579.4542768195,0.24,0.0311754870917686,"090809A",2.737,0.572523097849638
